gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	fisher.p_value	fisher.odds_ratio	fisher.ci_95_lower	fisher.ci_95_upper
CSGALNACT1	5	7922	11	21186	7.7925e-01	1.2156e+00	3.3100e-01	3.7968e+00
CSGALNACT2	1	7926	4	21193	1.0000e+00	6.6850e-01	1.3576e-02	6.7571e+00
CSH1	0	7927	2	21195	1.0000e+00	0.0000e+00	0.0000e+00	1.4240e+01
CSH2	1	7926	4	21193	1.0000e+00	6.6850e-01	1.3576e-02	6.7571e+00
CSHL1	0	7927	5	21192	3.3246e-01	0.0000e+00	0.0000e+00	2.9181e+00
CSK	1	7926	0	21197	2.7218e-01	Infinity	6.8565e-02	Infinity
CSKMT	8	7919	12	21185	2.1161e-01	1.7834e+00	6.3210e-01	4.7467e+00
CSMD1	4	7923	9	21188	7.5943e-01	1.1885e+00	2.6738e-01	4.2597e+00
CSMD2	3	7924	5	21192	4.5607e-01	1.6046e+00	2.4912e-01	8.2498e+00
CSMD2-AS1	3	7924	4	21193	3.9903e-01	2.0059e+00	2.9378e-01	1.1860e+01
CSMD3	3	7924	23	21174	7.9417e-02	3.4852e-01	6.6973e-02	1.1541e+00
CSN1S1	4	7923	12	21185	1.0000e+00	8.9129e-01	2.0945e-01	2.9419e+00
CSN2	1	7926	5	21192	1.0000e+00	5.3474e-01	1.1309e-02	4.7801e+00
CSN3	1	7926	4	21193	1.0000e+00	6.6850e-01	1.3576e-02	6.7571e+00
CSNK1A1L	4	7923	3	21194	9.2831e-02	3.5665e+00	6.0322e-01	2.4352e+01
CSNK1D	0	7927	3	21194	5.6744e-01	0.0000e+00	0.0000e+00	6.4723e+00
CSNK1E	1	7926	1	21196	4.7029e-01	2.6741e+00	3.4064e-02	2.0958e+02
CSNK1G1	0	7927	2	21195	1.0000e+00	0.0000e+00	0.0000e+00	1.4240e+01
CSNK1G2	1	7926	0	21197	2.7218e-01	Infinity	6.8565e-02	Infinity
CSNK1G3	1	7926	0	21197	2.7218e-01	Infinity	6.8565e-02	Infinity
CSNK2A1	1	7926	1	21196	4.7029e-01	2.6741e+00	3.4064e-02	2.0958e+02
CSNK2A3	6	7921	15	21182	8.1149e-01	1.0697e+00	3.3988e-01	2.9188e+00
CSNKA2IP	8	7919	24	21173	1.0000e+00	8.9124e-01	3.4597e-01	2.0516e+00
CSPG4	8	7919	25	21172	8.4557e-01	8.5555e-01	3.3342e-01	1.9577e+00
CSPG5	1	7926	2	21195	1.0000e+00	1.3370e+00	2.2660e-02	2.5687e+01
CSPP1	15	7912	20	21177	5.4888e-02	2.0075e+00	9.5575e-01	4.1274e+00
CSRNP1	1	7926	3	21194	1.0000e+00	8.9133e-01	1.6981e-02	1.1103e+01
CSRNP2	0	7927	2	21195	1.0000e+00	0.0000e+00	0.0000e+00	1.4240e+01
CSRNP3	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
CSRP1	1	7926	6	21191	6.8224e-01	4.4560e-01	9.6901e-03	3.6741e+00
CSRP2	2	7925	6	21191	1.0000e+00	8.9132e-01	8.7956e-02	4.9859e+00
CSRP3	2	7925	4	21193	6.6646e-01	1.3371e+00	1.2090e-01	9.3321e+00
CST1	4	7923	6	21191	4.7567e-01	1.7830e+00	3.6998e-01	7.5212e+00
CST11	4	7923	7	21190	5.0447e-01	1.5283e+00	3.2799e-01	6.0135e+00
CST2	3	7924	6	21191	7.1144e-01	1.3371e+00	2.1633e-01	6.2630e+00
CST3	3	7924	5	21192	4.5607e-01	1.6046e+00	2.4912e-01	8.2498e+00
CST4	0	7927	5	21192	3.3246e-01	0.0000e+00	0.0000e+00	2.9181e+00
CST5	0	7927	5	21192	3.3246e-01	0.0000e+00	0.0000e+00	2.9181e+00
CST6	0	7927	4	21193	5.8023e-01	0.0000e+00	0.0000e+00	4.0505e+00
CST7	0	7927	5	21192	3.3246e-01	0.0000e+00	0.0000e+00	2.9181e+00
CST8	0	7927	2	21195	1.0000e+00	0.0000e+00	0.0000e+00	1.4240e+01
CST9	2	7925	5	21192	1.0000e+00	1.0696e+00	1.0182e-01	6.5351e+00
CST9L	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
CSTA	0	7927	5	21192	3.3246e-01	0.0000e+00	0.0000e+00	2.9181e+00
CSTB	1	7926	4	21193	1.0000e+00	6.6850e-01	1.3576e-02	6.7571e+00
CSTF1	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
CSTF2	1	7926	0	21197	2.7218e-01	Infinity	6.8565e-02	Infinity
CSTF2T	2	7925	0	21197	7.4076e-02	Infinity	5.0223e-01	Infinity
CSTF3	1	7926	2	21195	1.0000e+00	1.3370e+00	2.2660e-02	2.5687e+01
CSTL1	1	7926	4	21193	1.0000e+00	6.6850e-01	1.3576e-02	6.7571e+00
CT45A10	3	7924	12	21185	7.7253e-01	6.6842e-01	1.2101e-01	2.4776e+00
CT45A9	1	7926	0	21197	2.7218e-01	Infinity	6.8565e-02	Infinity
CT47B1	1	7926	3	21194	1.0000e+00	8.9133e-01	1.6981e-02	1.1103e+01
CT62	1	7926	12	21185	2.0770e-01	2.2274e-01	5.2136e-03	1.5059e+00
CT83	3	7924	5	21192	4.5607e-01	1.6046e+00	2.4912e-01	8.2498e+00
CTAG2	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
CTAGE1	8	7919	7	21190	3.7174e-02	3.0577e+00	9.6863e-01	9.9098e+00
CTAGE15	2	7925	4	21193	6.6646e-01	1.3371e+00	1.2090e-01	9.3321e+00
CTAGE4	1	7926	7	21190	6.9163e-01	3.8197e-01	8.4770e-03	2.9736e+00
CTAGE6	3	7924	5	21192	4.5607e-01	1.6046e+00	2.4912e-01	8.2498e+00
CTAGE8	1	7926	6	21191	6.8224e-01	4.4560e-01	9.6901e-03	3.6741e+00
CTAGE9	4	7923	2	21195	5.0520e-02	5.3499e+00	7.6657e-01	5.9178e+01
CTB-178M22.2	1	7926	0	21197	2.7218e-01	Infinity	6.8565e-02	Infinity
CTBP1	1	7926	0	21197	2.7218e-01	Infinity	6.8565e-02	Infinity
CTBP1-AS	6	7921	6	21191	1.0074e-01	2.6752e+00	7.1495e-01	1.0010e+01
CTBP2	8	7919	17	21180	6.5305e-01	1.2586e+00	4.6991e-01	3.0784e+00
CTBS	2	7925	9	21188	7.3798e-01	5.9411e-01	6.2454e-02	2.8714e+00
CTC1	4	7923	35	21162	1.7812e-02	3.0524e-01	7.8801e-02	8.5414e-01
CTCF	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
CTCFL	0	7927	7	21190	2.0099e-01	0.0000e+00	0.0000e+00	1.8552e+00
CTD-2201I18.1	0	7927	3	21194	5.6744e-01	0.0000e+00	0.0000e+00	6.4723e+00
CTDNEP1	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
CTDP1	2	7925	7	21190	1.0000e+00	7.6397e-01	7.7418e-02	4.0135e+00
CTDSP1	1	7926	0	21197	2.7218e-01	Infinity	6.8565e-02	Infinity
CTDSP2	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
CTDSPL	1	7926	1	21196	4.7029e-01	2.6741e+00	3.4064e-02	2.0958e+02
CTF1	6	7921	1	21196	2.1794e-03	1.6058e+01	1.9473e+00	7.3573e+02
CTGF	0	7927	3	21194	5.6744e-01	0.0000e+00	0.0000e+00	6.4723e+00
