gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	fisher.p_value	fisher.odds_ratio	fisher.ci_95_lower	fisher.ci_95_upper
STXBP3	13	7914	43	21154	5.5133e-01	8.0812e-01	3.9848e-01	1.5320e+00
STXBP4	8	7919	33	21164	2.9792e-01	6.4793e-01	2.5843e-01	1.4315e+00
STXBP5	43	7884	86	21111	1.3639e-01	1.3388e+00	9.0521e-01	1.9545e+00
STXBP5L	30	7897	85	21112	8.3436e-01	9.4356e-01	6.0005e-01	1.4472e+00
STXBP6	10	7917	19	21178	4.0454e-01	1.4079e+00	5.8445e-01	3.1842e+00
STYK1	13	7914	27	21170	4.7759e-01	1.2880e+00	6.0981e-01	2.5850e+00
STYX	10	7917	17	21180	2.7928e-01	1.5737e+00	6.4365e-01	3.6408e+00
STYXL1	14	7913	22	21175	1.3305e-01	1.7029e+00	8.0532e-01	3.4827e+00
SUB1	7	7920	6	21191	5.4092e-02	3.1214e+00	8.9794e-01	1.1244e+01
SUCLA2	11	7916	41	21156	4.3510e-01	7.1706e-01	3.3220e-01	1.4213e+00
SUCLG1	15	7912	41	21156	1.0000e+00	9.7825e-01	5.0269e-01	1.8063e+00
SUCLG2	17	7910	35	21162	3.5430e-01	1.2995e+00	6.8226e-01	2.3842e+00
SUCNR1	10	7917	22	21175	6.9095e-01	1.2158e+00	5.1371e-01	2.6769e+00
SUCO	44	7883	117	21080	1.0000e+00	1.0056e+00	6.9360e-01	1.4352e+00
SUDS3	11	7916	15	21182	1.1936e-01	1.9623e+00	8.1485e-01	4.5746e+00
SUFU	21	7906	49	21148	5.9220e-01	1.1464e+00	6.5260e-01	1.9492e+00
SUGCT	15	7912	51	21146	4.8938e-01	7.8609e-01	4.1026e-01	1.4212e+00
SUGP1	38	7889	65	21132	3.4441e-02	1.5660e+00	1.0200e+00	2.3744e+00
SUGP2	27	7900	94	21103	2.6017e-01	7.6730e-01	4.8028e-01	1.1889e+00
SUGT1	13	7914	33	21164	8.6894e-01	1.0535e+00	5.0860e-01	2.0570e+00
SULF1	37	7890	60	21137	2.1608e-02	1.6520e+00	1.0651e+00	2.5320e+00
SULF2	34	7893	127	21070	9.1254e-02	7.1468e-01	4.7399e-01	1.0516e+00
