gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	fisher.p_value	fisher.odds_ratio	fisher.ci_95_lower	fisher.ci_95_upper
MRPL48	3	7924	4	21193	3.9903e-01	2.0059e+00	2.9378e-01	1.1860e+01
MRPL49	0	7927	2	21195	1.0000e+00	0.0000e+00	0.0000e+00	1.4240e+01
MRPL50	1	7926	1	21196	4.7029e-01	2.6741e+00	3.4064e-02	2.0958e+02
MRPL51	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
MRPL52	2	7925	7	21190	1.0000e+00	7.6397e-01	7.7418e-02	4.0135e+00
MRPL53	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
MRPL54	1	7926	0	21197	2.7218e-01	Infinity	6.8565e-02	Infinity
MRPL55	1	7926	4	21193	1.0000e+00	6.6850e-01	1.3576e-02	6.7571e+00
MRPL57	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
MRPL58	1	7926	2	21195	1.0000e+00	1.3370e+00	2.2660e-02	2.5687e+01
MRPL9	0	7927	4	21193	5.8023e-01	0.0000e+00	0.0000e+00	4.0505e+00
MRPS10	6	7921	1	21196	2.1794e-03	1.6058e+01	1.9473e+00	7.3573e+02
MRPS11	2	7925	3	21194	6.1810e-01	1.7828e+00	1.4887e-01	1.5561e+01
MRPS12	1	7926	5	21192	1.0000e+00	5.3474e-01	1.1309e-02	4.7801e+00
MRPS14	0	7927	2	21195	1.0000e+00	0.0000e+00	0.0000e+00	1.4240e+01
MRPS15	4	7923	3	21194	9.2831e-02	3.5665e+00	6.0322e-01	2.4352e+01
MRPS16	1	7926	1	21196	4.7029e-01	2.6741e+00	3.4064e-02	2.0958e+02
MRPS17	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
MRPS18A	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
MRPS18B	1	7926	3	21194	1.0000e+00	8.9133e-01	1.6981e-02	1.1103e+01
MRPS18C	0	7927	5	21192	3.3246e-01	0.0000e+00	0.0000e+00	2.9181e+00
MRPS2	1	7926	7	21190	6.9163e-01	3.8197e-01	8.4770e-03	2.9736e+00
MRPS21	2	7925	0	21197	7.4076e-02	Infinity	5.0223e-01	Infinity
MRPS22	2	7925	4	21193	6.6646e-01	1.3371e+00	1.2090e-01	9.3321e+00
MRPS23	2	7925	1	21196	1.8191e-01	5.3488e+00	2.7841e-01	3.1496e+02
MRPS24	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
MRPS25	0	7927	2	21195	1.0000e+00	0.0000e+00	0.0000e+00	1.4240e+01
MRPS26	2	7925	6	21191	1.0000e+00	8.9132e-01	8.7956e-02	4.9859e+00
MRPS27	1	7926	5	21192	1.0000e+00	5.3474e-01	1.1309e-02	4.7801e+00
MRPS30	0	7927	7	21190	2.0099e-01	0.0000e+00	0.0000e+00	1.8552e+00
MRPS31	1	7926	3	21194	1.0000e+00	8.9133e-01	1.6981e-02	1.1103e+01
MRPS33	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
MRPS34	0	7927	4	21193	5.8023e-01	0.0000e+00	0.0000e+00	4.0505e+00
MRPS35	0	7927	5	21192	3.3246e-01	0.0000e+00	0.0000e+00	2.9181e+00
MRPS5	5	7922	5	21192	1.4838e-01	2.6750e+00	6.1544e-01	1.1624e+01
MRPS6	1	7926	4	21193	1.0000e+00	6.6850e-01	1.3576e-02	6.7571e+00
MRPS7	1	7926	3	21194	1.0000e+00	8.9133e-01	1.6981e-02	1.1103e+01
MRPS9	2	7925	4	21193	6.6646e-01	1.3371e+00	1.2090e-01	9.3321e+00
MRRF	0	7927	3	21194	5.6744e-01	0.0000e+00	0.0000e+00	6.4723e+00
MRS2	1	7926	8	21189	4.5964e-01	3.3416e-01	7.5338e-03	2.4932e+00
MRTFA	0	7927	3	21194	5.6744e-01	0.0000e+00	0.0000e+00	6.4723e+00
MRTFA-AS1	1	7926	6	21191	6.8224e-01	4.4560e-01	9.6901e-03	3.6741e+00
MRTFB	1	7926	1	21196	4.7029e-01	2.6741e+00	3.4064e-02	2.0958e+02
MRVI1	1	7926	4	21193	1.0000e+00	6.6850e-01	1.3576e-02	6.7571e+00
MRVI1-AS1	0	7927	1	21196	1.0000e+00	0.0000e+00	0.0000e+00	1.0412e+02
MS4A1	1	7926	1	21196	4.7029e-01	2.6741e+00	3.4064e-02	2.0958e+02
MS4A10	1	7926	5	21192	1.0000e+00	5.3474e-01	1.1309e-02	4.7801e+00
