gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	RES.test_statistic	RES.p_value	OR
PREPL	[3,0,0,0]	[4553,204,801,2056]	[7,6,1,8]	[7070,2069,3438,7251]	1.9235e+00	1.6547e-01	3.4852e-01
PREX1	[11,0,1,6]	[4545,204,800,2050]	[30,6,0,21]	[7047,2069,3439,7238]	1.1995e+00	2.7342e-01	7.1902e-01
PREX2	[6,0,2,1]	[4550,204,799,2055]	[15,5,2,10]	[7062,2070,3437,7249]	7.0207e-01	4.0209e-01	6.7905e-01
PRF1	[7,1,0,3]	[4549,203,801,2053]	[5,5,0,10]	[7072,2070,3439,7249]	1.0274e+00	3.1076e-01	1.6285e+00
PRG3	[1,0,0,0]	[4555,204,801,2056]	[2,1,0,1]	[7075,2074,3439,7258]	2.2730e-04	9.8797e-01	5.5626e-01
PRG4	[12,0,2,6]	[4544,204,799,2050]	[11,10,2,15]	[7066,2065,3437,7244]	1.6853e+00	1.9422e-01	1.5306e+00
PRICKLE1	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,2]	[7077,2075,3439,7257]	9.9703e-03	9.2046e-01	0.0000e+00
PRICKLE2	[8,1,1,3]	[4548,203,800,2053]	[15,2,0,15]	[7062,2073,3439,7244]	4.2605e-04	9.8353e-01	9.5312e-01
PRICKLE3	[0,0,0,1]	[4556,204,801,2055]	[1,0,0,2]	[7076,2075,3439,7257]	2.6399e-01	6.0739e-01	9.3540e-01
PRIM1	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
PRIM2	[1,0,1,1]	[4555,204,800,2055]	[4,1,2,4]	[7073,2074,3437,7255]	1.8351e-02	8.9224e-01	7.5371e-01
PRIMA1	[0,0,0,0]	[4556,204,801,2056]	[1,3,0,1]	[7076,2072,3439,7258]	2.2166e-01	6.3778e-01	0.0000e+00
PRIMPOL	[2,0,0,1]	[4554,204,801,2055]	[3,1,1,9]	[7074,2074,3438,7250]	2.8335e-01	5.9451e-01	5.8008e-01
PRKAA1	[7,0,0,2]	[4549,204,801,2054]	[2,1,0,10]	[7075,2074,3439,7249]	1.1676e+00	2.7989e-01	1.8896e+00
PRKAA2	[5,0,1,2]	[4551,204,800,2054]	[9,3,1,3]	[7068,2072,3438,7256]	1.5034e-02	9.0241e-01	1.1653e+00
PRKAB1	[1,0,0,0]	[4555,204,801,2056]	[5,1,1,3]	[7072,2074,3438,7256]	1.4708e+00	2.2522e-01	2.0975e-01
PRKAB2	[1,1,0,0]	[4555,203,801,2056]	[1,1,0,2]	[7076,2074,3439,7257]	9.4200e-03	9.2268e-01	1.6466e+00
PRKACA	[6,0,0,0]	[4550,204,801,2056]	[12,2,0,6]	[7065,2073,3439,7253]	7.6953e-01	3.8036e-01	5.8803e-01
PRKACB	[3,0,0,0]	[4553,204,801,2056]	[2,0,0,6]	[7075,2075,3439,7253]	2.1279e-02	8.8402e-01	8.6591e-01
PRKAG2	[7,1,0,2]	[4549,203,801,2054]	[10,3,4,12]	[7067,2072,3435,7247]	1.7713e-02	8.9412e-01	8.8630e-01
PRKAG3	[2,0,0,1]	[4554,204,801,2055]	[2,0,0,4]	[7075,2075,3439,7255]	1.5978e-02	8.9941e-01	1.1980e+00
PRKAR1A	[2,0,0,1]	[4554,204,801,2055]	[4,0,0,2]	[7073,2075,3439,7257]	1.2244e-01	7.2641e-01	9.9401e-01
PRKAR1B	[4,0,0,2]	[4552,204,801,2054]	[5,2,0,6]	[7072,2073,3439,7253]	2.5141e-04	9.8735e-01	1.1534e+00
PRKAR2A	[0,1,0,2]	[4556,203,801,2054]	[0,1,1,9]	[7077,2074,3438,7250]	3.9675e-02	8.4212e-01	1.0902e+00
PRKAR2B	[2,0,0,1]	[4554,204,801,2055]	[3,1,1,4]	[7074,2074,3438,7255]	1.1168e-02	9.1584e-01	8.5430e-01
PRKCA	[7,0,1,4]	[4549,204,800,2052]	[9,3,1,3]	[7068,2072,3438,7256]	1.6643e+00	1.9702e-01	1.7638e+00
PRKCB	[6,0,0,2]	[4550,204,801,2054]	[6,0,0,16]	[7071,2075,3439,7243]	5.0142e-03	9.4355e-01	8.8550e-01
PRKCD	[5,1,1,3]	[4551,203,800,2053]	[11,1,1,11]	[7066,2074,3438,7248]	2.5559e-02	8.7298e-01	1.0124e+00
PRKCE	[5,0,0,4]	[4551,204,801,2052]	[7,3,1,13]	[7070,2072,3438,7246]	2.7154e-02	8.6911e-01	1.0149e+00
PRKCG	[1,0,0,1]	[4555,204,801,2055]	[6,4,0,13]	[7071,2071,3439,7246]	3.0959e+00	7.8489e-02	2.4854e-01
PRKCH	[2,1,0,0]	[4554,203,801,2056]	[4,1,1,8]	[7073,2074,3438,7251]	3.1005e-01	5.7765e-01	5.8900e-01
PRKCI	[1,0,0,7]	[4555,204,801,2049]	[5,2,1,6]	[7072,2073,3438,7253]	9.1974e-01	3.3754e-01	1.6619e+00
PRKCQ	[4,0,0,4]	[4552,204,801,2052]	[7,1,1,11]	[7070,2074,3438,7248]	2.9073e-02	8.6461e-01	1.0189e+00
PRKCSH	[0,0,0,1]	[4556,204,801,2055]	[2,0,0,2]	[7075,2075,3439,7257]	2.9989e-03	9.5633e-01	6.3623e-01
PRKCZ	[3,0,0,5]	[4553,204,801,2051]	[3,1,0,13]	[7074,2074,3439,7246]	2.5713e-01	6.1210e-01	1.3848e+00
PRKD1	[5,0,0,6]	[4551,204,801,2050]	[13,2,4,10]	[7064,2073,3435,7249]	3.1962e-05	9.9549e-01	9.3726e-01
PRKD2	[4,0,2,1]	[4552,204,799,2055]	[15,0,0,22]	[7062,2075,3439,7237]	3.3184e+00	6.8507e-02	4.5019e-01
PRKD3	[3,1,0,1]	[4553,203,801,2055]	[12,1,1,15]	[7065,2074,3438,7244]	2.7540e+00	9.7013e-02	4.2368e-01
PRKDC	[31,0,0,16]	[4525,204,801,2040]	[47,15,6,48]	[7030,2060,3433,7211]	3.8746e-03	9.5037e-01	9.9519e-01
PRKG1	[4,0,0,1]	[4552,204,801,2055]	[2,0,1,11]	[7075,2075,3438,7248]	2.6816e-02	8.6992e-01	9.4485e-01
PRKG2	[2,0,0,1]	[4554,204,801,2055]	[6,0,3,6]	[7071,2075,3436,7253]	8.5345e-01	3.5558e-01	4.7044e-01
PRKN	[5,0,1,3]	[4551,204,800,2053]	[4,4,2,6]	[7073,2071,3437,7253]	9.5200e-01	3.2921e-01	1.7077e+00
PRKRA	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,3]	[7077,2075,3439,7256]	5.0970e-02	8.2138e-01	0.0000e+00
PRKRIP1	[1,0,0,0]	[4555,204,801,2056]	[2,0,0,0]	[7075,2075,3439,7259]	1.4786e-01	7.0059e-01	7.7662e-01
PRKX	[0,0,0,1]	[4556,204,801,2055]	[6,0,0,2]	[7071,2075,3439,7257]	1.1755e+00	2.7827e-01	2.7913e-01
PRL	[0,0,0,2]	[4556,204,801,2054]	[3,0,0,0]	[7074,2075,3439,7259]	1.2793e-02	9.0995e-01	1.3265e+00
PRLH	[0,0,0,0]	[4556,204,801,2056]	[3,1,0,2]	[7074,2074,3439,7257]	1.2754e+00	2.5875e-01	0.0000e+00
PRLHR	[4,1,0,3]	[4552,203,801,2053]	[7,0,0,11]	[7070,2075,3439,7248]	2.9773e-05	9.9565e-01	1.0992e+00
PRLR	[4,0,0,0]	[4552,204,801,2056]	[4,2,0,7]	[7073,2073,3439,7252]	3.9009e-02	8.4343e-01	7.3939e-01
PRM1	[1,0,0,1]	[4555,204,801,2055]	[0,0,0,2]	[7077,2075,3439,7257]	2.6399e-01	6.0739e-01	3.1445e+00
PRMT2	[4,0,0,2]	[4552,204,801,2054]	[5,4,0,3]	[7072,2071,3439,7256]	7.9246e-02	7.7832e-01	1.3406e+00
PRMT3	[1,0,0,0]	[4555,204,801,2056]	[6,1,0,4]	[7071,2074,3439,7255]	2.0119e+00	1.5607e-01	1.8299e-01
PRMT5	[0,0,0,0]	[4556,204,801,2056]	[3,0,1,2]	[7074,2075,3438,7257]	1.4059e+00	2.3573e-01	0.0000e+00
PRMT6	[7,0,0,4]	[4549,204,801,2052]	[6,1,0,5]	[7071,2074,3439,7254]	2.3519e+00	1.2513e-01	2.0835e+00
PRMT7	[2,2,0,3]	[4554,202,801,2053]	[8,1,1,12]	[7069,2074,3438,7247]	6.3703e-03	9.3638e-01	8.8691e-01
