gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	RES.test_statistic	RES.p_value	OR
CTNNA2	[7,1,0,3]	[4549,203,801,2053]	[8,5,1,9]	[7069,2070,3438,7250]	2.4939e-01	6.1750e-01	1.3047e+00
CTNNA3	[8,1,0,1]	[4548,203,801,2055]	[11,4,0,11]	[7066,2071,3439,7248]	2.0059e-04	9.8870e-01	9.2413e-01
CTNNAL1	[5,1,0,2]	[4551,203,801,2054]	[13,2,1,8]	[7064,2073,3438,7251]	2.3044e-01	6.3120e-01	7.6247e-01
CTNNB1	[7,1,0,3]	[4549,203,801,2053]	[11,3,1,6]	[7066,2072,3438,7253]	1.3330e-01	7.1504e-01	1.2331e+00
CTNNBIP1	[0,0,0,0]	[4556,204,801,2056]	[2,0,0,1]	[7075,2075,3439,7258]	3.9172e-01	5.3140e-01	0.0000e+00
CTNNBL1	[3,0,0,1]	[4553,204,801,2055]	[9,2,0,10]	[7068,2073,3439,7249]	1.6046e+00	2.0526e-01	4.4027e-01
CTNND1	[4,0,0,1]	[4552,204,801,2055]	[5,5,1,6]	[7072,2070,3438,7253]	1.0897e-02	9.1686e-01	8.1966e-01
CTNND2	[13,0,0,10]	[4543,204,801,2046]	[25,8,2,19]	[7052,2067,3437,7240]	1.0070e-03	9.7468e-01	1.0414e+00
CTNS	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,2]	[7076,2075,3439,7257]	1.9055e-01	6.6246e-01	0.0000e+00
CTPS1	[9,0,0,3]	[4547,204,801,2053]	[1,2,1,4]	[7076,2073,3438,7255]	8.2447e+00	4.0871e-03	4.7616e+00
CTPS2	[4,0,0,0]	[4552,204,801,2056]	[5,1,1,4]	[7072,2074,3438,7255]	1.1299e-02	9.1535e-01	7.7994e-01
CTR9	[5,1,0,4]	[4551,203,801,2052]	[11,4,2,13]	[7066,2071,3437,7246]	1.5901e-02	8.9965e-01	8.9319e-01
CTRB1	[0,0,0,0]	[4556,204,801,2056]	[0,1,0,0]	[7077,2074,3439,7259]	2.0675e+00	1.5047e-01	0.0000e+00
CTRB2	[6,0,0,0]	[4550,204,801,2056]	[7,1,0,5]	[7070,2074,3439,7254]	1.1510e-02	9.1456e-01	9.2763e-01
CTRC	[3,1,0,1]	[4553,203,801,2055]	[4,1,1,9]	[7073,2074,3438,7250]	9.0826e-03	9.2407e-01	9.1730e-01
CTSB	[0,0,0,1]	[4556,204,801,2055]	[2,1,0,3]	[7075,2074,3439,7256]	5.2475e-02	8.1881e-01	5.0758e-01
CTSC	[5,0,0,0]	[4551,204,801,2056]	[3,1,0,6]	[7074,2074,3439,7253]	7.3148e-04	9.7842e-01	1.1751e+00
CTSE	[5,0,0,3]	[4551,204,801,2053]	[3,2,2,4]	[7074,2073,3437,7255]	1.4340e+00	2.3112e-01	2.0585e+00
CTSF	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
CTSG	[2,0,0,0]	[4554,204,801,2056]	[2,2,1,5]	[7075,2073,3438,7254]	1.3604e-01	7.1225e-01	5.3953e-01
CTSH	[2,0,0,3]	[4554,204,801,2053]	[2,2,1,6]	[7075,2073,3438,7253]	1.1907e-01	7.3005e-01	1.4363e+00
CTSK	[0,0,0,0]	[4556,204,801,2056]	[3,0,1,0]	[7074,2075,3438,7259]	8.5984e-01	3.5378e-01	0.0000e+00
CTSL	[0,0,0,1]	[4556,204,801,2055]	[5,4,0,3]	[7072,2071,3439,7256]	1.3098e+00	2.5243e-01	2.6156e-01
CTSO	[3,0,0,2]	[4553,204,801,2054]	[3,1,1,7]	[7074,2074,3438,7252]	4.1029e-03	9.4893e-01	1.1286e+00
CTSS	[1,0,0,0]	[4555,204,801,2056]	[1,0,1,3]	[7076,2075,3438,7256]	1.5759e-02	9.0010e-01	4.8950e-01
CTSV	[2,0,0,0]	[4554,204,801,2056]	[3,1,2,3]	[7074,2074,3437,7256]	1.6490e-01	6.8468e-01	5.2788e-01
CTSW	[4,0,0,3]	[4552,204,801,2053]	[6,1,0,6]	[7071,2074,3439,7253]	6.4263e-02	7.9988e-01	1.2680e+00
CTSZ	[0,1,0,1]	[4556,203,801,2055]	[6,2,2,4]	[7071,2073,3437,7255]	9.0146e-01	3.4239e-01	4.4570e-01
CTTN	[4,1,0,6]	[4552,203,801,2050]	[10,4,0,12]	[7067,2071,3439,7247]	5.2097e-02	8.1945e-01	1.1587e+00
CTTNBP2	[11,0,0,3]	[4545,204,801,2053]	[20,8,1,18]	[7057,2067,3438,7241]	8.5943e-01	3.5390e-01	7.0983e-01
CTTNBP2NL	[4,0,0,5]	[4552,204,801,2051]	[8,2,1,8]	[7069,2073,3438,7251]	5.8631e-02	8.0867e-01	1.2021e+00
CTU1	[5,0,0,2]	[4551,204,801,2054]	[14,5,1,9]	[7063,2070,3438,7250]	1.2961e+00	2.5492e-01	5.6710e-01
CTXND1	[1,0,1,0]	[4555,204,800,2056]	[1,0,0,1]	[7076,2075,3439,7258]	1.1762e-01	7.3163e-01	2.3182e+00
CTXND2	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,3]	[7077,2075,3439,7256]	5.0970e-02	8.2138e-01	0.0000e+00
CUBN	[23,0,1,13]	[4533,204,800,2043]	[44,17,4,52]	[7033,2058,3435,7207]	1.0591e+00	3.0342e-01	8.0364e-01
CUEDC1	[3,0,0,2]	[4553,204,801,2054]	[9,2,1,5]	[7068,2073,3438,7254]	2.8295e-01	5.9478e-01	6.7700e-01
CUEDC2	[2,0,0,3]	[4554,204,801,2053]	[4,0,0,2]	[7073,2075,3439,7257]	4.7857e-01	4.8907e-01	1.7707e+00
CUL1	[7,0,0,1]	[4549,204,801,2055]	[8,0,2,7]	[7069,2075,3437,7252]	4.4198e-02	8.3349e-01	9.9639e-01
CUL2	[2,0,0,2]	[4554,204,801,2054]	[9,3,2,7]	[7068,2072,3437,7252]	1.2634e+00	2.6101e-01	4.8524e-01
CUL3	[3,1,0,3]	[4553,203,801,2053]	[4,0,0,11]	[7073,2075,3439,7248]	8.0694e-02	7.7636e-01	1.2704e+00
CUL4A	[4,0,1,4]	[4552,204,800,2052]	[12,5,2,18]	[7065,2070,3437,7241]	8.2268e-01	3.6440e-01	6.6935e-01
CUL4B	[4,0,1,0]	[4552,204,800,2056]	[6,5,0,9]	[7071,2070,3439,7250]	2.4075e-01	6.2367e-01	6.7807e-01
CUL5	[3,0,1,2]	[4553,204,800,2054]	[7,4,1,9]	[7070,2071,3438,7250]	6.8672e-02	7.9328e-01	7.9506e-01
CUL7	[10,1,0,7]	[4546,203,801,2049]	[24,9,2,23]	[7053,2066,3437,7236]	5.1231e-01	4.7414e-01	7.9443e-01
CUL9	[15,1,0,8]	[4541,203,801,2048]	[24,6,0,32]	[7053,2069,3439,7227]	3.1572e-03	9.5519e-01	9.5693e-01
CUTA	[2,0,0,2]	[4554,204,801,2054]	[4,3,0,3]	[7073,2072,3439,7256]	1.9458e-02	8.8906e-01	1.1114e+00
CUTC	[1,0,0,1]	[4555,204,801,2055]	[3,0,0,3]	[7074,2075,3439,7256]	1.5573e-03	9.6852e-01	7.5527e-01
CUX1	[15,0,0,5]	[4541,204,801,2051]	[31,3,4,27]	[7046,2072,3435,7232]	1.8188e+00	1.7746e-01	6.7998e-01
CUX2	[16,2,0,10]	[4540,202,801,2046]	[24,7,2,27]	[7053,2068,3437,7232]	3.6569e-01	5.4536e-01	1.1831e+00
CUZD1	[4,1,1,3]	[4552,203,800,2053]	[5,1,3,3]	[7072,2074,3436,7256]	1.8679e+00	1.7171e-01	1.9827e+00
CWC15	[3,0,0,0]	[4553,204,801,2056]	[2,0,1,4]	[7075,2075,3438,7255]	1.0871e-01	7.4162e-01	9.8382e-01
CWC22	[4,0,0,1]	[4552,204,801,2055]	[10,3,0,13]	[7067,2072,3439,7246]	1.8670e+00	1.7181e-01	4.5505e-01
CWC25	[4,0,0,3]	[4552,204,801,2053]	[2,1,2,5]	[7075,2074,3437,7254]	1.1514e+00	2.8326e-01	2.0277e+00
CWC27	[4,1,0,1]	[4552,203,801,2055]	[4,1,0,5]	[7073,2074,3439,7254]	2.4058e-01	6.2379e-01	1.4945e+00
CWF19L1	[2,0,0,1]	[4554,204,801,2055]	[2,1,1,2]	[7075,2074,3438,7257]	3.0127e-05	9.9562e-01	1.3280e+00
CWF19L2	[5,0,0,2]	[4551,204,801,2054]	[8,2,0,10]	[7069,2073,3439,7249]	3.3014e-02	8.5582e-01	8.3332e-01
CWH43	[9,0,0,2]	[4547,204,801,2054]	[6,2,3,10]	[7071,2073,3436,7249]	2.4229e-01	6.2256e-01	1.3268e+00
CX3CL1	[3,1,0,4]	[4553,203,801,2052]	[3,2,1,15]	[7074,2073,3438,7244]	4.8940e-02	8.2492e-01	1.2062e+00
CX3CR1	[2,1,0,2]	[4554,203,801,2054]	[5,5,0,5]	[7072,2070,3439,7254]	3.1188e-02	8.5982e-01	1.0503e+00
CXADR	[4,2,0,1]	[4552,202,801,2055]	[2,2,0,1]	[7075,2073,3439,7258]	5.3500e+00	2.0723e-02	4.2619e+00
CXCL1	[1,0,0,2]	[4555,204,801,2054]	[3,2,0,1]	[7074,2073,3439,7258]	5.2144e-03	9.4243e-01	1.3762e+00
CXCL10	[0,0,0,0]	[4556,204,801,2056]	[0,1,0,0]	[7077,2074,3439,7259]	2.0675e+00	1.5047e-01	0.0000e+00
CXCL12	[2,0,0,0]	[4554,204,801,2056]	[5,2,0,2]	[7072,2073,3439,7257]	3.4179e-01	5.5880e-01	4.7166e-01
CXCL13	[0,0,0,2]	[4556,204,801,2054]	[2,0,0,1]	[7075,2075,3439,7258]	2.9989e-03	9.5633e-01	1.5525e+00
CXCL16	[2,0,0,0]	[4554,204,801,2056]	[4,0,0,0]	[7073,2075,3439,7259]	1.5774e-02	9.0005e-01	7.7657e-01
CXCL17	[2,0,0,0]	[4554,204,801,2056]	[0,1,1,0]	[7077,2074,3438,7259]	2.7009e-01	6.0327e-01	4.3699e+00
CXCL2	[1,0,0,0]	[4555,204,801,2056]	[2,3,0,3]	[7075,2072,3439,7256]	2.4870e-01	6.1799e-01	3.5487e-01
CXCL3	[2,0,0,0]	[4554,204,801,2056]	[4,0,0,2]	[7073,2075,3439,7257]	4.7864e-02	8.2682e-01	6.0579e-01
CXCL5	[0,0,0,0]	[4556,204,801,2056]	[4,0,0,0]	[7073,2075,3439,7259]	1.1940e+00	2.7453e-01	0.0000e+00
CXCL6	[1,0,0,1]	[4555,204,801,2055]	[3,0,0,2]	[7074,2075,3439,7257]	5.0102e-02	8.2289e-01	8.5845e-01
CXCL8	[2,0,0,0]	[4554,204,801,2056]	[1,1,0,3]	[7076,2074,3439,7256]	1.3871e-01	7.0957e-01	1.0642e+00
CXCR1	[1,0,1,4]	[4555,204,800,2052]	[8,1,0,12]	[7069,2074,3439,7247]	1.3595e-01	7.1234e-01	7.7244e-01
CXCR2	[5,0,0,0]	[4551,204,801,2056]	[4,5,0,5]	[7073,2070,3439,7254]	5.2741e-02	8.1836e-01	9.7562e-01
CXCR3	[1,0,0,1]	[4555,204,801,2055]	[6,2,1,7]	[7071,2073,3438,7252]	1.6800e+00	1.9492e-01	3.2532e-01
CXCR4	[3,0,0,0]	[4553,204,801,2056]	[4,3,0,1]	[7073,2072,3439,7258]	3.4794e-02	8.5203e-01	8.8769e-01
CXCR6	[3,1,0,1]	[4553,203,801,2055]	[3,4,2,6]	[7074,2071,3437,7253]	1.4507e-02	9.0413e-01	1.0865e+00
CXXC1	[4,1,0,1]	[4552,203,801,2055]	[14,2,2,15]	[7063,2073,3437,7244]	2.9482e+00	8.5975e-02	4.4051e-01
CXXC4	[4,0,1,1]	[4552,204,800,2055]	[6,1,0,6]	[7071,2074,3439,7253]	1.5072e-02	9.0229e-01	1.0692e+00
CXorf21	[2,0,0,1]	[4554,204,801,2055]	[4,0,0,2]	[7073,2075,3439,7257]	1.2244e-01	7.2641e-01	9.9401e-01
CXorf38	[0,0,0,0]	[4556,204,801,2056]	[2,0,0,4]	[7075,2075,3439,7255]	1.1681e+00	2.7980e-01	0.0000e+00
CXorf40A	[0,0,0,1]	[4556,204,801,2055]	[2,0,0,2]	[7075,2075,3439,7257]	2.9989e-03	9.5633e-01	6.3623e-01
CXorf40B	[6,0,0,2]	[4550,204,801,2054]	[1,1,0,3]	[7076,2074,3439,7256]	4.8740e+00	2.7264e-02	4.5594e+00
CXorf56	[1,0,0,1]	[4555,204,801,2055]	[2,1,0,1]	[7075,2074,3439,7258]	3.7179e-02	8.4710e-01	1.2690e+00
CXorf58	[3,1,0,0]	[4553,203,801,2056]	[1,0,0,3]	[7076,2075,3439,7256]	9.0088e-01	3.4255e-01	2.5963e+00
CXorf66	[1,1,0,1]	[4555,203,801,2055]	[3,0,0,3]	[7074,2075,3439,7256]	8.8178e-04	9.7631e-01	1.2510e+00
CXorf67	[7,0,1,3]	[4549,204,800,2053]	[4,2,2,9]	[7073,2073,3437,7250]	1.4759e+00	2.2442e-01	1.8035e+00
CYB561	[0,0,0,0]	[4556,204,801,2056]	[0,0,1,0]	[7077,2075,3438,7259]	6.3157e-01	4.2678e-01	0.0000e+00
CYB561D2	[2,0,0,1]	[4554,204,801,2055]	[0,0,0,2]	[7077,2075,3439,7257]	1.1206e+00	2.8978e-01	4.5233e+00
CYB5A	[1,0,0,1]	[4555,204,801,2055]	[3,0,0,2]	[7074,2075,3439,7257]	5.0102e-02	8.2289e-01	8.5845e-01
CYB5D2	[3,1,1,0]	[4553,203,800,2056]	[2,3,1,1]	[7075,2072,3438,7258]	1.2596e+00	2.6172e-01	2.4288e+00
CYB5R1	[3,0,0,1]	[4553,204,801,2055]	[2,1,1,5]	[7075,2074,3438,7254]	1.5127e-03	9.6898e-01	1.2029e+00
CYB5R2	[2,0,0,2]	[4554,204,801,2054]	[5,2,0,1]	[7072,2073,3439,7258]	2.9152e-03	9.5694e-01	1.1771e+00
CYB5R3	[1,0,1,1]	[4555,204,800,2055]	[5,0,0,4]	[7072,2075,3439,7255]	8.3019e-03	9.2740e-01	7.7383e-01
CYB5R4	[3,0,0,1]	[4553,204,801,2055]	[6,0,0,5]	[7071,2075,3439,7254]	3.8396e-02	8.4465e-01	7.5398e-01
CYBA	[4,0,0,0]	[4552,204,801,2056]	[3,3,0,2]	[7074,2072,3439,7257]	1.0435e-03	9.7423e-01	1.2912e+00
CYBC1	[0,1,0,0]	[4556,203,801,2056]	[3,5,1,4]	[7074,2070,3438,7255]	8.0649e-01	3.6916e-01	3.3739e-01
CYBRD1	[1,0,0,3]	[4555,204,801,2053]	[5,0,1,3]	[7072,2075,3438,7256]	5.0443e-02	8.2229e-01	1.0488e+00
CYC1	[4,0,1,1]	[4552,204,800,2055]	[4,2,1,2]	[7073,2073,3438,7257]	4.5587e-01	4.9956e-01	1.6941e+00
CYCS	[1,0,0,0]	[4555,204,801,2056]	[3,0,0,0]	[7074,2075,3439,7259]	4.6522e-03	9.4562e-01	5.1767e-01
CYFIP1	[9,2,1,7]	[4547,202,800,2049]	[10,5,3,17]	[7067,2070,3436,7242]	1.9531e+00	1.6226e-01	1.5636e+00
CYFIP2	[10,1,0,2]	[4546,203,801,2054]	[10,4,0,11]	[7067,2071,3439,7248]	2.4644e-01	6.1959e-01	1.2766e+00
CYGB	[1,1,0,2]	[4555,203,801,2054]	[4,1,1,5]	[7073,2074,3438,7254]	5.0839e-02	8.2161e-01	1.0437e+00
CYHR1	[4,0,0,1]	[4552,204,801,2055]	[3,1,0,13]	[7074,2074,3439,7246]	4.2696e-02	8.3630e-01	7.7705e-01
CYLC1	[3,1,0,1]	[4553,203,801,2055]	[5,2,0,8]	[7072,2073,3439,7251]	3.3839e-03	9.5361e-01	9.0047e-01
CYLC2	[1,1,0,0]	[4555,203,801,2056]	[0,3,4,7]	[7077,2072,3435,7252]	1.2731e-01	7.2124e-01	5.9096e-01
CYLD	[3,2,0,2]	[4553,202,801,2054]	[2,4,0,8]	[7075,2071,3439,7251]	9.5109e-01	3.2944e-01	1.7919e+00
CYP11A1	[1,0,0,1]	[4555,204,801,2055]	[7,0,0,5]	[7070,2075,3439,7254]	1.3049e+00	2.5332e-01	3.6069e-01
CYP11B1	[2,1,0,1]	[4554,203,801,2055]	[8,3,3,14]	[7069,2072,3436,7245]	2.3228e+00	1.2749e-01	4.1142e-01
CYP11B2	[4,1,0,1]	[4552,203,801,2055]	[2,5,0,9]	[7075,2070,3439,7250]	4.5313e-02	8.3143e-01	1.2819e+00
CYP17A1	[3,1,0,2]	[4553,203,801,2054]	[5,3,1,5]	[7072,2072,3438,7254]	2.1059e-02	8.8462e-01	1.2204e+00
CYP19A1	[3,1,0,1]	[4553,203,801,2055]	[8,5,4,8]	[7069,2070,3435,7251]	8.2740e-01	3.6303e-01	5.7564e-01
CYP1A1	[7,0,0,1]	[4549,204,801,2055]	[7,3,1,8]	[7070,2072,3438,7251]	3.4549e-02	8.5254e-01	1.0147e+00
CYP1A2	[7,0,1,1]	[4549,204,800,2055]	[3,4,1,6]	[7074,2071,3438,7253]	1.2576e+00	2.6210e-01	1.9209e+00
CYP1B1	[6,1,1,7]	[4550,203,800,2049]	[10,2,1,11]	[7067,2073,3438,7248]	1.7539e+00	1.8538e-01	1.6143e+00
CYP20A1	[1,0,0,1]	[4555,204,801,2055]	[3,2,2,7]	[7074,2073,3437,7252]	6.8995e-01	4.0618e-01	4.2329e-01
CYP24A1	[5,1,0,1]	[4551,203,801,2055]	[4,1,0,12]	[7073,2074,3439,7247]	1.1797e-03	9.7260e-01	1.0992e+00
CYP26B1	[4,0,0,1]	[4552,204,801,2055]	[13,4,1,8]	[7064,2071,3438,7251]	2.2448e+00	1.3407e-01	4.3350e-01
CYP27A1	[1,0,0,3]	[4555,204,801,2053]	[7,1,1,6]	[7070,2074,3438,7253]	2.1878e-01	6.3997e-01	6.7799e-01
CYP27B1	[3,1,1,2]	[4553,203,800,2054]	[6,2,1,12]	[7071,2073,3438,7247]	1.1182e-02	9.1579e-01	9.5127e-01
CYP27C1	[1,0,0,1]	[4555,204,801,2055]	[1,1,0,4]	[7076,2074,3439,7255]	1.6010e-01	6.8907e-01	1.0173e+00
CYP2A13	[3,0,0,2]	[4553,204,801,2054]	[7,2,0,6]	[7070,2073,3439,7253]	3.3298e-02	8.5521e-01	7.9697e-01
CYP2B6	[1,0,0,1]	[4555,204,801,2055]	[5,4,1,4]	[7072,2071,3438,7255]	8.1351e-01	3.6708e-01	4.0942e-01
CYP2C8	[4,0,0,1]	[4552,204,801,2055]	[6,4,1,4]	[7071,2071,3438,7255]	1.2073e-03	9.7228e-01	8.4989e-01
CYP2C9	[5,0,0,2]	[4551,204,801,2054]	[9,2,0,12]	[7068,2073,3439,7247]	2.6575e-01	6.0620e-01	7.2390e-01
CYP2D6	[0,0,0,0]	[4556,204,801,2056]	[2,0,2,2]	[7075,2075,3437,7257]	1.0788e+00	2.9896e-01	0.0000e+00
CYP2E1	[2,0,0,0]	[4554,204,801,2056]	[3,2,0,4]	[7074,2073,3439,7255]	1.3251e-01	7.1584e-01	5.4384e-01
CYP2F1	[5,0,1,1]	[4551,204,800,2055]	[5,2,0,6]	[7072,2073,3439,7253]	1.1530e-01	7.3419e-01	1.3384e+00
CYP2J2	[5,0,0,0]	[4551,204,801,2056]	[5,1,0,5]	[7072,2074,3439,7254]	4.5892e-02	8.3037e-01	9.6521e-01
CYP2R1	[1,1,0,1]	[4555,203,801,2055]	[2,2,1,7]	[7075,2073,3438,7252]	4.1715e-03	9.4850e-01	8.5224e-01
CYP2S1	[2,0,1,2]	[4554,204,800,2054]	[10,4,0,6]	[7067,2071,3439,7253]	4.8565e-01	4.8587e-01	6.4036e-01
CYP2U1	[1,0,0,2]	[4555,204,801,2054]	[0,0,0,3]	[7077,2075,3439,7256]	9.1952e-01	3.3760e-01	3.2747e+00
CYP2W1	[8,1,1,4]	[4548,203,800,2052]	[15,5,3,12]	[7062,2070,3436,7247]	1.1835e-02	9.1337e-01	1.0176e+00
CYP39A1	[3,0,0,3]	[4553,204,801,2053]	[6,1,0,9]	[7071,2074,3439,7250]	1.3112e-02	9.0884e-01	9.4053e-01
CYP3A4	[0,0,0,1]	[4556,204,801,2055]	[3,0,0,2]	[7074,2075,3439,7257]	9.2341e-02	7.6122e-01	4.8205e-01
CYP3A43	[3,0,0,0]	[4553,204,801,2056]	[6,1,0,6]	[7071,2074,3439,7253]	6.3568e-01	4.2528e-01	4.8470e-01
CYP3A5	[3,1,0,1]	[4553,203,801,2055]	[9,3,1,3]	[7068,2072,3438,7256]	9.8526e-02	7.5361e-01	7.5658e-01
CYP3A7	[4,0,0,1]	[4552,204,801,2055]	[4,1,1,6]	[7073,2074,3438,7253]	6.2371e-02	8.0279e-01	1.0137e+00
CYP46A1	[4,1,1,3]	[4552,203,800,2053]	[10,2,0,6]	[7067,2073,3439,7253]	6.2240e-02	8.0299e-01	1.1982e+00
CYP4A11	[5,0,0,3]	[4551,204,801,2053]	[4,1,2,3]	[7073,2074,3437,7256]	1.3385e+00	2.4731e-01	1.9963e+00
CYP4A22	[3,0,0,2]	[4553,204,801,2054]	[4,2,2,9]	[7073,2073,3437,7250]	1.2717e-02	9.1021e-01	8.2316e-01
CYP4B1	[4,0,0,1]	[4552,204,801,2055]	[9,2,1,9]	[7068,2073,3438,7250]	9.1520e-01	3.3874e-01	5.4614e-01
CYP4F11	[5,1,0,2]	[4551,203,801,2054]	[5,2,2,9]	[7072,2073,3437,7250]	5.3794e-02	8.1659e-01	1.2245e+00
CYP4F12	[3,0,0,0]	[4553,204,801,2056]	[8,1,2,4]	[7069,2074,3437,7255]	1.2610e+00	2.6147e-01	4.0680e-01
CYP4F2	[5,0,0,0]	[4551,204,801,2056]	[7,1,1,7]	[7070,2074,3438,7252]	2.4379e-01	6.2148e-01	6.6611e-01
CYP4F22	[0,1,0,2]	[4556,203,801,2054]	[4,3,1,8]	[7073,2072,3438,7251]	2.1385e-01	6.4377e-01	6.5122e-01
CYP4F3	[4,0,0,4]	[4552,204,801,2052]	[9,3,0,5]	[7068,2072,3439,7254]	4.8301e-03	9.4459e-01	1.1336e+00
CYP4F8	[2,0,1,1]	[4554,204,800,2055]	[7,1,0,13]	[7070,2074,3439,7246]	1.1977e+00	2.7377e-01	4.9221e-01
CYP4V2	[3,1,0,2]	[4553,203,801,2054]	[4,0,2,4]	[7073,2075,3437,7255]	3.0287e-01	5.8209e-01	1.5192e+00
CYP4X1	[3,0,0,0]	[4553,204,801,2056]	[2,2,0,5]	[7075,2073,3439,7254]	3.0342e-02	8.6172e-01	8.8339e-01
CYP4Z1	[0,1,0,0]	[4556,203,801,2056]	[3,2,1,5]	[7074,2073,3438,7254]	7.7475e-01	3.7875e-01	3.4382e-01
CYP51A1	[1,0,0,2]	[4555,204,801,2054]	[3,0,0,4]	[7074,2075,3439,7255]	7.7005e-02	7.8140e-01	1.0530e+00
CYP7A1	[1,1,0,2]	[4555,203,801,2054]	[5,1,0,4]	[7072,2074,3439,7255]	4.7556e-02	8.2737e-01	1.0501e+00
CYP7B1	[4,0,0,0]	[4552,204,801,2056]	[8,0,1,7]	[7069,2075,3438,7252]	8.8755e-01	3.4614e-01	4.9969e-01
CYSLTR1	[0,1,0,0]	[4556,203,801,2056]	[3,3,1,4]	[7074,2072,3438,7255]	6.4879e-01	4.2055e-01	3.6165e-01
CYSLTR2	[2,0,0,1]	[4554,204,801,2055]	[3,1,0,2]	[7074,2074,3439,7257]	2.4635e-02	8.7528e-01	1.1701e+00
CYSRT1	[4,0,0,0]	[4552,204,801,2056]	[1,0,0,3]	[7076,2075,3439,7256]	4.5333e-01	5.0076e-01	2.3096e+00
CYSTM1	[0,0,0,0]	[4556,204,801,2056]	[1,0,1,0]	[7076,2075,3438,7259]	1.6577e-02	8.9755e-01	0.0000e+00
CYTH1	[7,0,0,2]	[4549,204,801,2054]	[3,1,0,5]	[7074,2074,3439,7254]	2.3726e+00	1.2348e-01	2.4583e+00
CYTH2	[3,0,0,0]	[4553,204,801,2056]	[2,1,0,1]	[7075,2074,3439,7258]	3.7118e-02	8.4722e-01	1.6693e+00
CYTH3	[3,0,0,0]	[4553,204,801,2056]	[8,3,1,8]	[7069,2072,3438,7251]	2.0926e+00	1.4801e-01	3.4047e-01
CYTH4	[8,0,1,1]	[4548,204,800,2055]	[5,2,2,7]	[7072,2073,3437,7252]	7.0685e-01	4.0049e-01	1.5911e+00
CYTIP	[1,0,0,0]	[4555,204,801,2056]	[4,1,0,7]	[7073,2074,3439,7252]	1.7691e+00	1.8349e-01	1.8996e-01
CYTL1	[3,0,0,0]	[4553,204,801,2056]	[6,1,2,2]	[7071,2074,3437,7257]	3.0319e-01	5.8189e-01	5.5986e-01
CYYR1	[1,0,0,0]	[4555,204,801,2056]	[2,0,0,2]	[7075,2075,3439,7257]	1.2793e-02	9.0995e-01	4.9666e-01
D2HGDH	[5,0,0,1]	[4551,204,801,2055]	[6,2,1,5]	[7071,2073,3438,7254]	6.2945e-02	8.0190e-01	9.9991e-01
DAAM1	[7,0,0,5]	[4549,204,801,2051]	[13,4,1,17]	[7064,2071,3438,7242]	6.0058e-02	8.0640e-01	8.6817e-01
DAAM2	[7,1,0,0]	[4549,203,801,2056]	[11,1,0,13]	[7066,2074,3439,7246]	3.8235e-01	5.3635e-01	7.1102e-01
DAB1	[3,0,0,0]	[4553,204,801,2056]	[6,4,0,11]	[7071,2071,3439,7248]	1.8127e+00	1.7819e-01	3.5517e-01
DAB2	[8,0,1,3]	[4548,204,800,2053]	[8,3,0,13]	[7069,2072,3439,7246]	2.2285e-01	6.3688e-01	1.2786e+00
DAB2IP	[13,2,0,6]	[4543,202,801,2050]	[17,9,2,26]	[7060,2066,3437,7233]	7.6542e-03	9.3028e-01	1.0610e+00
DACH1	[6,1,0,1]	[4550,203,801,2055]	[11,1,1,9]	[7066,2074,3438,7250]	8.8401e-02	7.6622e-01	8.1220e-01
DACH2	[5,0,0,3]	[4551,204,801,2053]	[1,1,1,7]	[7076,2074,3438,7252]	2.0992e+00	1.4737e-01	2.4303e+00
DACT1	[9,0,0,5]	[4547,204,801,2051]	[14,9,0,12]	[7063,2066,3439,7247]	4.7284e-04	9.8265e-01	1.0487e+00
DACT2	[8,0,0,7]	[4548,204,801,2049]	[16,6,4,10]	[7061,2069,3435,7249]	3.1746e-04	9.8578e-01	1.0570e+00
DACT3	[8,0,1,5]	[4548,204,800,2051]	[11,3,1,16]	[7066,2072,3438,7243]	6.9646e-02	7.9185e-01	1.1542e+00
DAD1	[2,0,0,0]	[4554,204,801,2056]	[1,0,0,1]	[7076,2075,3439,7258]	1.2280e-02	9.1176e-01	1.9872e+00
DAG1	[7,1,0,2]	[4549,203,801,2054]	[17,2,4,14]	[7060,2073,3435,7245]	1.2821e+00	2.5750e-01	6.2927e-01
DAGLA	[6,1,1,7]	[4550,203,800,2049]	[20,4,4,23]	[7057,2071,3435,7236]	5.8179e-01	4.4561e-01	7.7156e-01
DAGLB	[5,0,0,7]	[4551,204,801,2049]	[14,3,3,18]	[7063,2072,3436,7241]	1.7616e-01	6.7469e-01	8.2530e-01
DALRD3	[8,0,0,3]	[4548,204,801,2053]	[9,1,1,19]	[7068,2074,3438,7240]	1.0600e-02	9.1800e-01	9.0078e-01
DAND5	[2,1,0,0]	[4554,203,801,2056]	[1,1,0,3]	[7076,2074,3439,7256]	1.6803e-01	6.8187e-01	1.8610e+00
DAO	[0,0,0,0]	[4556,204,801,2056]	[3,0,0,6]	[7074,2075,3439,7253]	2.2891e+00	1.3029e-01	0.0000e+00
DAOA	[1,0,0,1]	[4555,204,801,2055]	[4,0,0,1]	[7073,2075,3439,7258]	6.5596e-03	9.3545e-01	7.7633e-01
