gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	RES.test_statistic	RES.p_value	OR
SPOCK2	[0,0,0,0]	[4556,204,801,2056]	[0,0,1,3]	[7077,2075,3438,7256]	1.8420e-01	6.6779e-01	0.0000e+00
SPOCK3	[2,0,0,0]	[4554,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	3.7936e-01	5.3795e-01	5.5125e+00
SPON1	[2,0,0,1]	[4554,204,801,2055]	[3,1,0,4]	[7074,2074,3439,7255]	5.7021e-02	8.1127e-01	9.2949e-01
SPON2	[1,0,0,0]	[4555,204,801,2056]	[1,0,0,0]	[7076,2075,3439,7259]	1.6843e-01	6.8151e-01	1.5535e+00
SPOP	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
SPOPL	[1,0,0,0]	[4555,204,801,2056]	[0,0,0,3]	[7077,2075,3439,7256]	2.6399e-01	6.0739e-01	9.1875e-01
SPP1	[2,0,0,0]	[4554,204,801,2056]	[1,2,0,4]	[7076,2073,3439,7255]	4.4242e-02	8.3340e-01	8.3704e-01
SPP2	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,3]	[7076,2075,3439,7256]	4.0668e-01	5.2366e-01	0.0000e+00
SPPL2A	[1,0,0,1]	[4555,204,801,2055]	[1,1,0,3]	[7076,2074,3439,7256]	5.2475e-02	8.1881e-01	1.2138e+00
SPR	[0,1,1,0]	[4556,203,800,2056]	[0,0,0,1]	[7077,2075,3439,7258]	2.4628e+00	1.1657e-01	7.7998e+00
SPRED1	[2,0,0,0]	[4554,204,801,2056]	[2,0,0,0]	[7075,2075,3439,7259]	4.6522e-03	9.4562e-01	1.5536e+00
SPRED2	[1,0,0,0]	[4555,204,801,2056]	[0,0,0,2]	[7077,2075,3439,7257]	1.9055e-01	6.6246e-01	1.3781e+00
SPRED3	[0,0,0,1]	[4556,204,801,2055]	[0,0,0,1]	[7077,2075,3439,7258]	9.9703e-03	9.2046e-01	3.5319e+00
SPRR1A	[1,0,0,0]	[4555,204,801,2056]	[5,0,0,2]	[7072,2075,3439,7257]	9.4053e-01	3.3214e-01	2.5338e-01
SPRR1B	[0,0,0,1]	[4556,204,801,2055]	[0,1,0,2]	[7077,2074,3439,7257]	1.0602e-01	7.4472e-01	1.4679e+00
SPRR2A	[0,0,0,0]	[4556,204,801,2056]	[3,0,0,0]	[7074,2075,3439,7259]	6.3742e-01	4.2465e-01	0.0000e+00
SPRR2B	[0,0,0,1]	[4556,204,801,2055]	[0,0,0,0]	[7077,2075,3439,7259]	4.5347e-01	5.0069e-01	Infinity
SPRR2D	[0,0,0,1]	[4556,204,801,2055]	[0,1,0,0]	[7077,2074,3439,7259]	1.4206e-01	7.0624e-01	8.7058e+00
SPRR2E	[1,0,0,1]	[4555,204,801,2055]	[0,1,0,1]	[7077,2074,3439,7258]	5.0231e-01	4.7849e-01	4.4741e+00
SPRR2F	[0,0,0,0]	[4556,204,801,2056]	[2,0,0,1]	[7075,2075,3439,7258]	3.9172e-01	5.3140e-01	0.0000e+00
SPRR2G	[0,0,0,1]	[4556,204,801,2055]	[0,0,0,0]	[7077,2075,3439,7259]	4.5347e-01	5.0069e-01	Infinity
SPRR3	[1,0,1,1]	[4555,204,800,2055]	[3,0,1,9]	[7074,2075,3438,7250]	1.4260e-01	7.0571e-01	6.5612e-01
SPRR4	[1,0,0,0]	[4555,204,801,2056]	[2,0,0,1]	[7075,2075,3439,7258]	1.2280e-02	9.1176e-01	6.0586e-01
SPRY1	[1,1,0,0]	[4555,203,801,2056]	[2,1,0,0]	[7075,2074,3439,7259]	2.4303e-02	8.7612e-01	1.7407e+00
SPRY2	[0,0,0,0]	[4556,204,801,2056]	[2,0,0,1]	[7075,2075,3439,7258]	3.9172e-01	5.3140e-01	0.0000e+00
SPRY3	[1,0,0,0]	[4555,204,801,2056]	[1,1,0,4]	[7076,2074,3439,7255]	5.2475e-02	8.1881e-01	4.4596e-01
SPRYD3	[1,0,0,0]	[4555,204,801,2056]	[2,2,0,0]	[7075,2073,3439,7259]	2.4303e-02	8.7612e-01	6.3211e-01
SPRYD7	[5,0,0,0]	[4551,204,801,2056]	[2,0,0,3]	[7075,2075,3439,7256]	5.5063e-01	4.5806e-01	2.1050e+00
SPSB4	[1,0,0,0]	[4555,204,801,2056]	[1,0,1,1]	[7076,2075,3438,7258]	1.1762e-01	7.3163e-01	7.5920e-01
SPTA1	[1,1,1,1]	[4555,203,800,2055]	[5,0,1,10]	[7072,2075,3438,7249]	1.4978e-01	6.9875e-01	7.1394e-01
SPTAN1	[1,0,1,0]	[4555,204,800,2056]	[2,0,0,0]	[7075,2075,3439,7259]	2.1359e-02	8.8380e-01	1.8123e+00
SPTB	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,2]	[7077,2075,3439,7257]	9.9703e-03	9.2046e-01	0.0000e+00
SPTBN1	[1,0,0,0]	[4555,204,801,2056]	[1,0,0,0]	[7076,2075,3439,7259]	1.6843e-01	6.8151e-01	1.5535e+00
SPTBN2	[2,0,1,0]	[4554,204,800,2056]	[2,1,1,1]	[7075,2074,3438,7258]	3.9798e-02	8.4188e-01	1.5815e+00
SPTBN4	[0,0,2,0]	[4556,204,799,2056]	[2,0,0,1]	[7075,2075,3439,7258]	1.4622e-02	9.0375e-01	1.6157e+00
SPTBN5	[8,3,1,6]	[4548,201,800,2050]	[18,9,5,18]	[7059,2066,3434,7241]	2.8889e-03	9.5714e-01	1.0245e+00
SPTLC1	[1,1,0,0]	[4555,203,801,2056]	[3,0,2,1]	[7074,2075,3437,7258]	3.9798e-02	8.4188e-01	8.5640e-01
SPTLC2	[2,0,0,0]	[4554,204,801,2056]	[0,0,0,2]	[7077,2075,3439,7257]	9.2358e-02	7.6120e-01	2.7562e+00
SPTLC3	[3,0,0,0]	[4553,204,801,2056]	[6,0,2,1]	[7071,2075,3437,7258]	1.4824e-01	7.0023e-01	6.1880e-01
SPTSSA	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
SPTSSB	[1,0,0,1]	[4555,204,801,2055]	[0,0,0,0]	[7077,2075,3439,7259]	1.9205e+00	1.6580e-01	Infinity
SPTY2D1	[2,0,0,0]	[4554,204,801,2056]	[0,0,0,0]	[7077,2075,3439,7259]	1.0781e+00	2.9913e-01	Infinity
SPX	[3,0,0,0]	[4553,204,801,2056]	[1,4,0,1]	[7076,2071,3439,7258]	8.6721e-02	7.6839e-01	1.8809e+00
SPZ1	[1,0,0,0]	[4555,204,801,2056]	[2,0,0,3]	[7075,2075,3439,7256]	9.2341e-02	7.6122e-01	4.2081e-01
SQLE	[0,0,1,0]	[4556,204,800,2056]	[1,0,0,0]	[7076,2075,3439,7259]	1.6577e-02	8.9755e-01	2.0710e+00
SQOR	[0,1,0,0]	[4556,203,801,2056]	[2,0,0,1]	[7075,2075,3439,7258]	2.2634e-01	6.3425e-01	9.0685e-01
SQSTM1	[1,0,0,0]	[4555,204,801,2056]	[1,0,0,2]	[7076,2075,3439,7257]	9.2358e-02	7.6120e-01	7.3022e-01
SRBD1	[5,0,2,3]	[4551,204,799,2053]	[3,0,5,7]	[7074,2075,3434,7252]	1.7148e+00	1.9036e-01	1.9122e+00
SRCIN1	[0,0,0,0]	[4556,204,801,2056]	[0,1,0,2]	[7077,2074,3439,7257]	2.2516e-03	9.6215e-01	0.0000e+00
SRD5A1	[3,0,0,0]	[4553,204,801,2056]	[2,0,0,1]	[7075,2075,3439,7258]	7.5632e-02	7.8331e-01	1.8182e+00
SRD5A3	[3,0,0,0]	[4553,204,801,2056]	[0,3,0,2]	[7077,2072,3439,7257]	2.9038e-01	5.8998e-01	2.5706e+00
SREBF1	[0,0,1,0]	[4556,204,800,2056]	[2,0,0,1]	[7075,2075,3439,7258]	1.1762e-01	7.3163e-01	8.0785e-01
SREBF2	[1,2,0,1]	[4555,202,801,2055]	[3,1,1,1]	[7074,2074,3438,7258]	6.3169e-01	4.2674e-01	1.9173e+00
SREK1IP1	[0,0,0,0]	[4556,204,801,2056]	[2,0,0,1]	[7075,2075,3439,7258]	3.9172e-01	5.3140e-01	0.0000e+00
SRFBP1	[2,0,0,1]	[4554,204,801,2055]	[2,1,0,4]	[7075,2074,3439,7255]	3.5607e-02	8.5033e-01	1.1369e+00
SRGAP1	[0,0,0,1]	[4556,204,801,2055]	[0,0,1,1]	[7077,2075,3438,7258]	3.4176e-02	8.5333e-01	1.9026e+00
SRGAP2	[1,0,0,0]	[4555,204,801,2056]	[2,0,0,1]	[7075,2075,3439,7258]	1.2280e-02	9.1176e-01	6.0586e-01
SRGAP2C	[1,0,0,0]	[4555,204,801,2056]	[2,0,0,1]	[7075,2075,3439,7258]	1.2280e-02	9.1176e-01	6.0586e-01
SRGAP3	[0,0,0,0]	[4556,204,801,2056]	[2,0,0,0]	[7075,2075,3439,7259]	1.6843e-01	6.8151e-01	0.0000e+00
SRI	[1,0,0,0]	[4555,204,801,2056]	[3,0,0,2]	[7074,2075,3439,7257]	1.9902e-01	6.5551e-01	3.7627e-01
SRL	[0,0,0,1]	[4556,204,801,2055]	[0,0,0,0]	[7077,2075,3439,7259]	4.5347e-01	5.0069e-01	Infinity
SRM	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,1]	[7076,2075,3439,7258]	3.0775e-02	8.6074e-01	0.0000e+00
SRP54	[0,0,0,1]	[4556,204,801,2055]	[0,0,0,2]	[7077,2075,3439,7257]	5.0970e-02	8.2138e-01	1.7657e+00
SRP72	[3,0,0,1]	[4553,204,801,2055]	[7,0,0,2]	[7070,2075,3439,7257]	2.1329e-03	9.6316e-01	8.1810e-01
SRPK1	[0,0,0,1]	[4556,204,801,2055]	[3,0,0,1]	[7074,2075,3439,7258]	1.2793e-02	9.0995e-01	5.5833e-01
SRPK2	[1,0,0,1]	[4555,204,801,2055]	[0,0,0,1]	[7077,2075,3439,7258]	7.6393e-01	3.8210e-01	6.2895e+00
SRPX2	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
SRR	[4,0,0,2]	[4552,204,801,2054]	[1,1,1,2]	[7076,2074,3438,7257]	2.6813e+00	1.0153e-01	3.5933e+00
SRRD	[1,0,0,1]	[4555,204,801,2055]	[3,2,0,1]	[7074,2073,3439,7258]	6.7098e-02	7.9561e-01	8.8119e-01
SRRM1	[0,0,0,0]	[4556,204,801,2056]	[0,1,1,0]	[7077,2074,3438,7259]	2.0915e-01	6.4743e-01	0.0000e+00
