gene_symbol	case_carriers	case_non_carriers	control_carriers	control_non_carriers	RES.test_statistic	RES.p_value	OR
AL670729.2	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
AL672142.1	[0,0,0,1]	[4556,204,801,2055]	[0,1,0,0]	[7077,2074,3439,7259]	1.4206e-01	7.0624e-01	8.7058e+00
AL691442.1	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,1]	[7076,2075,3439,7258]	3.0775e-02	8.6074e-01	0.0000e+00
AL691459.1	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,0]	[7076,2075,3439,7259]	4.9278e-02	8.2432e-01	0.0000e+00
AL713922.2	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
AL713965.1	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,0]	[7076,2075,3439,7259]	4.9278e-02	8.2432e-01	0.0000e+00
AL713999.1	[0,0,0,0]	[4556,204,801,2056]	[2,0,0,1]	[7075,2075,3439,7258]	3.9172e-01	5.3140e-01	0.0000e+00
AL731577.1	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,0]	[7077,2075,3439,7259]	Infinity	0.0000e+00	NaN
AL807742.1	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,0]	[7076,2075,3439,7259]	4.9278e-02	8.2432e-01	0.0000e+00
AL807752.7	[2,0,0,1]	[4554,204,801,2055]	[0,0,1,2]	[7077,2075,3438,7257]	6.5409e-01	4.1865e-01	3.1672e+00
AL807757.1	[0,0,0,0]	[4556,204,801,2056]	[0,0,1,1]	[7077,2075,3438,7258]	2.5108e-02	8.7410e-01	0.0000e+00
AL807757.2	[0,0,0,0]	[4556,204,801,2056]	[0,1,1,0]	[7077,2074,3438,7259]	2.0915e-01	6.4743e-01	0.0000e+00
AL845331.2	[2,1,0,0]	[4554,203,801,2056]	[7,2,0,6]	[7070,2073,3439,7253]	7.6546e-01	3.8162e-01	5.0088e-01
AL928654.2	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
AL928654.3	[2,0,0,1]	[4554,204,801,2055]	[1,0,0,1]	[7076,2075,3439,7258]	7.3756e-01	3.9044e-01	3.2605e+00
AL928711.1	[0,0,0,0]	[4556,204,801,2056]	[2,0,0,0]	[7075,2075,3439,7259]	1.6843e-01	6.8151e-01	0.0000e+00
AL929554.1	[1,0,0,0]	[4555,204,801,2056]	[0,0,0,0]	[7077,2075,3439,7259]	4.9278e-02	8.2432e-01	Infinity
ALAD	[2,0,0,0]	[4554,204,801,2056]	[1,0,0,1]	[7076,2075,3439,7258]	1.2280e-02	9.1176e-01	1.9872e+00
ALAS1	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,2]	[7077,2075,3439,7257]	9.9703e-03	9.2046e-01	0.0000e+00
ALB	[1,0,0,1]	[4555,204,801,2055]	[1,0,0,2]	[7076,2075,3439,7257]	2.9989e-03	9.5633e-01	1.6659e+00
ALCAM	[0,0,0,0]	[4556,204,801,2056]	[2,0,0,0]	[7075,2075,3439,7259]	1.6843e-01	6.8151e-01	0.0000e+00
ALDH16A1	[0,0,0,0]	[4556,204,801,2056]	[0,2,0,2]	[7077,2073,3439,7257]	2.8628e-02	8.6564e-01	0.0000e+00
ALDH18A1	[0,0,0,0]	[4556,204,801,2056]	[2,0,0,2]	[7075,2075,3439,7257]	6.4018e-01	4.2365e-01	0.0000e+00
ALDH1A1	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,2]	[7077,2075,3439,7257]	9.9703e-03	9.2046e-01	0.0000e+00
ALDH1A2	[0,0,0,0]	[4556,204,801,2056]	[2,1,0,1]	[7075,2074,3439,7258]	4.8257e-01	4.8726e-01	0.0000e+00
ALDH1B1	[1,0,0,1]	[4555,204,801,2055]	[0,0,0,7]	[7077,2075,3439,7252]	7.2758e-02	7.8736e-01	8.9808e-01
ALDH1L1	[3,0,1,0]	[4553,204,800,2056]	[4,1,0,4]	[7073,2074,3439,7255]	6.2662e-02	8.0234e-01	1.0383e+00
ALDH1L2	[4,0,0,1]	[4552,204,801,2055]	[6,1,0,6]	[7071,2074,3439,7253]	7.0938e-04	9.7875e-01	8.5350e-01
ALDH2	[1,0,0,0]	[4555,204,801,2056]	[1,0,0,2]	[7076,2075,3439,7257]	9.2358e-02	7.6120e-01	7.3022e-01
ALDH3A1	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,0]	[7076,2075,3439,7259]	4.9278e-02	8.2432e-01	0.0000e+00
ALDH3A2	[2,0,0,2]	[4554,204,801,2054]	[1,0,0,5]	[7076,2075,3439,7254]	3.1725e-01	5.7327e-01	1.8568e+00
ALDH3B1	[1,0,0,0]	[4555,204,801,2056]	[0,1,1,1]	[7077,2074,3438,7258]	2.3678e-01	6.2654e-01	1.2188e+00
ALDH3B2	[2,0,0,1]	[4554,204,801,2055]	[2,0,0,8]	[7075,2075,3439,7251]	1.1260e-03	9.7323e-01	7.8293e-01
ALDH5A1	[0,0,0,1]	[4556,204,801,2055]	[1,0,0,4]	[7076,2075,3439,7255]	2.0630e-05	9.9638e-01	6.1130e-01
ALDH6A1	[3,0,0,0]	[4553,204,801,2056]	[3,1,1,4]	[7074,2074,3438,7255]	5.3078e-05	9.9419e-01	7.8113e-01
ALDH7A1	[3,0,0,2]	[4553,204,801,2054]	[3,0,0,1]	[7074,2075,3439,7258]	1.1384e+00	2.8598e-01	2.4254e+00
ALDH8A1	[1,0,0,1]	[4555,204,801,2055]	[2,0,0,0]	[7075,2075,3439,7259]	1.2280e-02	9.1176e-01	1.7717e+00
ALDH9A1	[0,1,0,0]	[4556,203,801,2056]	[0,0,0,0]	[7077,2075,3439,7259]	2.0675e+00	1.5047e-01	Infinity
ALDOB	[1,0,0,0]	[4555,204,801,2056]	[1,2,1,2]	[7076,2073,3438,7257]	7.5554e-03	9.3073e-01	5.0650e-01
ALG1	[3,0,0,1]	[4553,204,801,2055]	[2,0,0,1]	[7075,2075,3439,7258]	7.8884e-01	3.7445e-01	2.5949e+00
ALG10B	[4,0,0,0]	[4552,204,801,2056]	[10,3,1,5]	[7067,2072,3438,7254]	1.4104e+00	2.3499e-01	4.4391e-01
ALG11	[2,0,0,1]	[4554,204,801,2055]	[0,0,0,3]	[7077,2075,3439,7256]	5.9718e-01	4.3965e-01	3.0154e+00
ALG12	[1,0,0,1]	[4555,204,801,2055]	[1,0,1,4]	[7076,2075,3438,7255]	1.2082e-01	7.2814e-01	9.4819e-01
ALG13	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,0]	[7077,2075,3439,7259]	Infinity	0.0000e+00	NaN
ALG14	[1,0,0,1]	[4555,204,801,2055]	[5,1,0,1]	[7072,2074,3439,7258]	7.8204e-02	7.7975e-01	6.1162e-01
ALG1L2	[0,0,0,0]	[4556,204,801,2056]	[2,1,0,0]	[7075,2074,3439,7259]	2.4908e-01	6.1772e-01	0.0000e+00
ALG2	[4,0,0,0]	[4552,204,801,2056]	[5,1,0,0]	[7072,2074,3439,7259]	5.8747e-03	9.3890e-01	1.1885e+00
ALG3	[0,0,0,1]	[4556,204,801,2055]	[2,0,0,1]	[7075,2075,3439,7258]	9.2358e-02	7.6120e-01	7.7615e-01
ALG5	[1,0,0,1]	[4555,204,801,2055]	[0,0,0,1]	[7077,2075,3439,7258]	7.6393e-01	3.8210e-01	6.2895e+00
ALG6	[7,0,1,0]	[4549,204,800,2056]	[3,1,1,4]	[7074,2074,3438,7255]	1.4431e+00	2.2965e-01	2.1710e+00
ALG8	[1,0,0,2]	[4555,204,801,2054]	[6,2,2,9]	[7071,2073,3437,7250]	1.2310e+00	2.6721e-01	4.4256e-01
ALG9	[0,0,0,1]	[4556,204,801,2055]	[1,0,1,2]	[7076,2075,3438,7257]	7.2951e-02	7.8709e-01	7.6246e-01
ALK	[4,0,0,1]	[4552,204,801,2055]	[5,2,1,7]	[7072,2073,3438,7252]	6.5521e-03	9.3549e-01	8.2979e-01
ALKAL1	[0,0,0,0]	[4556,204,801,2056]	[2,1,0,0]	[7075,2074,3439,7259]	2.4908e-01	6.1772e-01	0.0000e+00
ALKBH1	[3,0,0,1]	[4553,204,801,2055]	[1,1,0,3]	[7076,2074,3439,7256]	5.3632e-01	4.6396e-01	2.2785e+00
ALKBH2	[5,0,0,1]	[4551,204,801,2055]	[5,0,1,0]	[7072,2075,3438,7259]	5.0928e-01	4.7545e-01	1.7804e+00
ALKBH3	[4,0,0,0]	[4552,204,801,2056]	[3,3,0,3]	[7074,2072,3439,7256]	1.2218e-02	9.1198e-01	1.1558e+00
ALKBH7	[2,0,0,0]	[4554,204,801,2056]	[1,0,0,2]	[7076,2075,3439,7257]	1.2793e-02	9.0995e-01	1.4606e+00
ALKBH8	[1,0,0,1]	[4555,204,801,2055]	[2,2,2,3]	[7075,2073,3437,7256]	7.0247e-03	9.3320e-01	6.9294e-01
ALLC	[6,1,0,0]	[4550,203,801,2056]	[3,1,0,0]	[7074,2074,3439,7259]	3.3909e+00	6.5559e-02	3.6109e+00
ALMS1	[16,1,1,7]	[4540,203,800,2049]	[25,3,6,24]	[7052,2072,3433,7235]	3.9087e-04	9.8423e-01	1.0255e+00
ALOX12B	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
ALOX15	[6,0,0,1]	[4550,204,801,2055]	[8,2,0,7]	[7069,2073,3439,7252]	1.0704e-03	9.7390e-01	9.1184e-01
ALOX15B	[6,0,0,3]	[4550,204,801,2053]	[3,2,0,15]	[7074,2073,3439,7244]	1.2559e-01	7.2305e-01	1.2841e+00
ALOX5	[2,0,0,0]	[4554,204,801,2056]	[4,0,0,2]	[7073,2075,3439,7257]	4.7864e-02	8.2682e-01	6.0579e-01
ALOX5AP	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,2]	[7077,2075,3439,7257]	9.9703e-03	9.2046e-01	0.0000e+00
ALOXE3	[4,0,0,0]	[4552,204,801,2056]	[2,3,0,2]	[7075,2072,3439,7257]	9.6043e-02	7.5663e-01	1.6299e+00
ALPG	[4,0,0,0]	[4552,204,801,2056]	[6,3,0,6]	[7071,2072,3439,7253]	2.7860e-01	5.9762e-01	6.1699e-01
ALPI	[3,0,0,3]	[4553,204,801,2053]	[6,1,0,8]	[7071,2074,3439,7251]	5.0933e-02	8.2145e-01	9.8995e-01
ALPK1	[8,1,0,2]	[4548,203,801,2054]	[11,6,2,8]	[7066,2069,3437,7251]	3.2846e-03	9.5430e-01	1.0498e+00
ALPK2	[3,0,0,4]	[4553,204,801,2052]	[7,0,1,12]	[7070,2075,3438,7247]	3.5468e-03	9.5251e-01	8.8570e-01
ALPK3	[2,0,0,3]	[4554,204,801,2053]	[3,3,0,17]	[7074,2072,3439,7242]	2.6749e-01	6.0502e-01	6.8377e-01
ALPL	[1,0,0,0]	[4555,204,801,2056]	[4,3,0,6]	[7073,2072,3439,7253]	1.7055e+00	1.9157e-01	1.9246e-01
ALS2	[3,0,0,1]	[4553,204,801,2055]	[8,0,0,7]	[7069,2075,3439,7252]	6.2024e-01	4.3096e-01	5.5643e-01
ALS2CL	[4,0,0,2]	[4552,204,801,2054]	[9,6,2,6]	[7068,2069,3437,7253]	3.0742e-01	5.7927e-01	6.9233e-01
ALS2CR12	[1,0,0,1]	[4555,204,801,2055]	[8,0,0,5]	[7069,2075,3439,7254]	1.7384e+00	1.8734e-01	3.2733e-01
ALX1	[0,0,0,0]	[4556,204,801,2056]	[1,1,0,1]	[7076,2074,3439,7258]	8.2874e-02	7.7344e-01	0.0000e+00
ALX4	[2,0,0,1]	[4554,204,801,2055]	[0,0,0,0]	[7077,2075,3439,7259]	3.4511e+00	6.3208e-02	Infinity
ALYREF	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,0]	[7076,2075,3439,7259]	4.9278e-02	8.2432e-01	0.0000e+00
AMACR	[0,0,0,1]	[4556,204,801,2055]	[2,1,0,4]	[7075,2074,3439,7255]	1.6010e-01	6.8907e-01	4.4373e-01
AMBN	[1,0,0,1]	[4555,204,801,2055]	[3,0,5,3]	[7074,2075,3434,7256]	3.3221e-01	5.6436e-01	4.9875e-01
AMBP	[2,0,3,0]	[4554,204,798,2056]	[1,1,1,1]	[7076,2074,3438,7258]	3.2290e+00	7.2344e-02	4.1005e+00
AMBRA1	[3,0,0,2]	[4553,204,801,2054]	[0,1,0,4]	[7077,2074,3439,7255]	1.9987e+00	1.5744e-01	3.4819e+00
AMD1	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,0]	[7076,2075,3439,7259]	4.9278e-02	8.2432e-01	0.0000e+00
AMDHD1	[1,0,0,0]	[4555,204,801,2056]	[9,2,0,1]	[7068,2073,3439,7258]	2.9204e+00	8.7465e-02	1.5485e-01
AMELX	[1,0,0,1]	[4555,204,801,2055]	[0,2,0,0]	[7077,2073,3439,7259]	8.7602e-01	3.4929e-01	7.7510e+00
AMELY	[0,0,0,1]	[4556,204,801,2055]	[1,0,0,0]	[7076,2075,3439,7259]	3.0775e-02	8.6074e-01	1.9898e+00
AMER1	[1,0,0,0]	[4555,204,801,2056]	[1,0,0,0]	[7076,2075,3439,7259]	1.6843e-01	6.8151e-01	1.5535e+00
AMER2	[0,0,0,0]	[4556,204,801,2056]	[2,0,0,0]	[7075,2075,3439,7259]	1.6843e-01	6.8151e-01	0.0000e+00
AMER3	[4,0,0,0]	[4552,204,801,2056]	[5,1,2,0]	[7072,2074,3437,7259]	9.5705e-02	7.5705e-01	1.0032e+00
AMFR	[0,0,2,1]	[4556,204,799,2055]	[0,0,3,2]	[7077,2075,3436,7257]	6.2274e-01	4.3003e-01	2.3842e+00
AMH	[12,0,0,3]	[4544,204,801,2053]	[13,0,0,11]	[7064,2075,3439,7248]	3.1388e-01	5.7531e-01	1.2824e+00
AMHR2	[7,0,0,1]	[4549,204,801,2055]	[12,2,0,6]	[7065,2073,3439,7253]	7.5200e-02	7.8391e-01	8.1190e-01
AMIGO3	[3,0,0,1]	[4553,204,801,2055]	[1,0,1,4]	[7076,2075,3438,7255]	2.0897e-01	6.4757e-01	1.7800e+00
AMMECR1	[0,0,0,1]	[4556,204,801,2055]	[1,0,1,0]	[7076,2075,3438,7259]	1.6108e-01	6.8816e-01	1.3423e+00
AMN1	[2,0,0,0]	[4554,204,801,2056]	[0,0,0,2]	[7077,2075,3439,7257]	9.2358e-02	7.6120e-01	2.7562e+00
AMOT	[1,0,1,0]	[4555,204,800,2056]	[0,1,0,1]	[7077,2074,3439,7258]	5.7541e-01	4.4812e-01	4.5754e+00
AMOTL1	[2,0,0,1]	[4554,204,801,2055]	[2,0,0,2]	[7075,2075,3439,7257]	5.0102e-02	8.2289e-01	1.6300e+00
AMOTL2	[0,0,0,0]	[4556,204,801,2056]	[2,0,0,3]	[7075,2075,3439,7256]	9.0074e-01	3.4258e-01	0.0000e+00
AMPD1	[13,0,0,1]	[4543,204,801,2055]	[10,4,3,4]	[7067,2071,3436,7255]	8.5325e-01	3.5564e-01	1.5188e+00
AMPD2	[1,0,0,0]	[4555,204,801,2056]	[2,0,0,0]	[7075,2075,3439,7259]	1.4786e-01	7.0059e-01	7.7662e-01
AMPD3	[3,0,0,1]	[4553,204,801,2055]	[5,2,3,8]	[7072,2073,3436,7251]	4.5761e-01	4.9874e-01	5.8246e-01
AMPH	[0,1,1,1]	[4556,203,800,2055]	[0,0,2,1]	[7077,2075,3437,7258]	2.2222e+00	1.3604e-01	4.1813e+00
AMTN	[1,0,0,0]	[4555,204,801,2056]	[7,1,0,1]	[7070,2074,3439,7258]	1.7498e+00	1.8591e-01	1.9919e-01
AMY1B	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,0]	[7077,2075,3439,7259]	Infinity	0.0000e+00	NaN
AMY1C	[0,1,0,0]	[4556,203,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	1.4206e-01	7.0624e-01	4.1251e+00
AMY2A	[0,0,0,2]	[4556,204,801,2054]	[4,2,1,2]	[7073,2073,3438,7257]	5.1484e-02	8.2050e-01	6.5591e-01
AMY2B	[1,0,0,0]	[4555,204,801,2056]	[2,0,0,1]	[7075,2075,3439,7258]	1.2280e-02	9.1176e-01	6.0586e-01
AMZ1	[2,0,0,3]	[4554,204,801,2053]	[12,2,0,5]	[7065,2073,3439,7254]	7.6316e-01	3.8234e-01	5.9392e-01
AMZ2	[3,0,0,1]	[4553,204,801,2055]	[1,1,0,2]	[7076,2074,3439,7257]	9.0088e-01	3.4255e-01	2.8238e+00
ANAPC1	[0,0,0,0]	[4556,204,801,2056]	[1,4,1,4]	[7076,2071,3438,7255]	1.2431e+00	2.6488e-01	0.0000e+00
ANAPC11	[0,0,1,0]	[4556,204,800,2056]	[0,0,0,0]	[7077,2075,3439,7259]	6.3157e-01	4.2678e-01	Infinity
ANAPC13	[0,0,0,0]	[4556,204,801,2056]	[2,1,0,2]	[7075,2074,3439,7257]	7.3506e-01	3.9125e-01	0.0000e+00
ANAPC15	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,2]	[7077,2075,3439,7257]	9.9703e-03	9.2046e-01	0.0000e+00
ANAPC16	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,2]	[7077,2075,3439,7257]	9.9703e-03	9.2046e-01	0.0000e+00
ANAPC2	[0,0,0,0]	[4556,204,801,2056]	[1,0,0,0]	[7076,2075,3439,7259]	4.9278e-02	8.2432e-01	0.0000e+00
ANAPC4	[0,0,0,0]	[4556,204,801,2056]	[1,0,2,5]	[7076,2075,3437,7254]	1.3426e+00	2.4658e-01	0.0000e+00
ANAPC5	[4,0,0,2]	[4552,204,801,2054]	[3,1,1,7]	[7074,2074,3438,7252]	7.0650e-02	7.9039e-01	1.3317e+00
ANAPC7	[1,0,0,0]	[4555,204,801,2056]	[0,0,0,0]	[7077,2075,3439,7259]	4.9278e-02	8.2432e-01	Infinity
ANGEL1	[4,0,0,0]	[4552,204,801,2056]	[5,3,0,5]	[7072,2072,3439,7254]	4.8527e-02	8.2565e-01	7.3054e-01
ANGEL2	[2,0,0,0]	[4554,204,801,2056]	[3,0,1,2]	[7074,2075,3438,7257]	4.6477e-03	9.4565e-01	6.7388e-01
ANGPT1	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,2]	[7077,2075,3439,7257]	9.9703e-03	9.2046e-01	0.0000e+00
ANGPT2	[0,1,0,1]	[4556,203,801,2055]	[0,1,0,2]	[7077,2074,3439,7257]	6.3940e-01	4.2393e-01	3.1852e+00
ANGPT4	[3,0,0,1]	[4553,204,801,2055]	[6,1,1,2]	[7071,2074,3438,7257]	4.1408e-04	9.8377e-01	8.4831e-01
ANGPTL1	[5,0,1,1]	[4551,204,800,2055]	[0,0,0,1]	[7077,2075,3439,7258]	9.0631e+00	2.6082e-03	2.0996e+01
ANGPTL2	[1,0,0,0]	[4555,204,801,2056]	[0,0,0,0]	[7077,2075,3439,7259]	4.9278e-02	8.2432e-01	Infinity
ANGPTL3	[1,0,0,0]	[4555,204,801,2056]	[5,3,0,5]	[7072,2072,3439,7254]	1.9493e+00	1.6266e-01	1.8256e-01
ANGPTL4	[2,0,2,1]	[4554,204,799,2055]	[2,1,0,2]	[7075,2074,3439,7257]	1.7528e+00	1.8553e-01	2.7538e+00
ANGPTL5	[3,0,0,2]	[4553,204,801,2054]	[3,1,3,3]	[7074,2074,3436,7256]	5.3831e-02	8.1653e-01	1.3573e+00
ANGPTL6	[0,0,0,0]	[4556,204,801,2056]	[4,5,0,2]	[7073,2070,3439,7257]	2.2449e+00	1.3406e-01	0.0000e+00
ANGPTL7	[0,0,0,2]	[4556,204,801,2054]	[1,1,0,1]	[7076,2074,3439,7258]	1.5224e-01	6.9640e-01	2.2209e+00
ANGPTL8	[2,0,0,1]	[4554,204,801,2055]	[3,1,1,3]	[7074,2074,3438,7256]	6.8496e-02	7.9354e-01	9.4348e-01
ANHX	[0,0,0,0]	[4556,204,801,2056]	[0,0,0,1]	[7077,2075,3439,7258]	4.5347e-01	5.0069e-01	0.0000e+00
ANK1	[3,0,0,0]	[4553,204,801,2056]	[1,0,0,4]	[7076,2075,3439,7255]	1.5573e-03	9.6852e-01	1.4320e+00
ANK2	[1,0,1,0]	[4555,204,800,2056]	[2,0,0,0]	[7075,2075,3439,7259]	2.1359e-02	8.8380e-01	1.8123e+00
ANK3	[2,0,0,0]	[4554,204,801,2056]	[2,0,0,2]	[7075,2075,3439,7257]	1.8666e-01	6.6571e-01	9.9345e-01
ANKAR	[12,0,0,3]	[4544,204,801,2053]	[12,4,1,14]	[7065,2071,3438,7245]	7.0529e-02	7.9057e-01	1.1564e+00
ANKDD1A	[1,0,0,0]	[4555,204,801,2056]	[0,0,0,0]	[7077,2075,3439,7259]	4.9278e-02	8.2432e-01	Infinity
ANKDD1B	[9,0,0,0]	[4547,204,801,2056]	[6,1,0,5]	[7071,2074,3439,7254]	4.5475e-01	5.0009e-01	1.5461e+00
ANKEF1	[5,0,1,2]	[4551,204,800,2054]	[10,3,2,3]	[7067,2072,3437,7256]	1.9153e-02	8.8993e-01	1.0357e+00
ANKFN1	[3,0,0,0]	[4553,204,801,2056]	[6,2,0,2]	[7071,2073,3439,7257]	1.5713e-01	6.9181e-01	6.1423e-01
ANKFY1	[0,0,0,0]	[4556,204,801,2056]	[0,0,2,0]	[7077,2075,3437,7259]	4.8716e-02	8.2531e-01	0.0000e+00
ANKH	[1,0,0,1]	[4555,204,801,2055]	[0,0,1,1]	[7077,2075,3438,7258]	3.1067e-01	5.7727e-01	3.3881e+00
ANKHD1	[1,1,0,0]	[4555,203,801,2056]	[1,1,0,1]	[7076,2074,3439,7258]	1.2382e-01	7.2493e-01	2.1648e+00
ANKHD1-EIF4EBP3	[2,0,0,0]	[4554,204,801,2056]	[1,0,0,1]	[7076,2075,3439,7258]	1.2280e-02	9.1176e-01	1.9872e+00
ANKIB1	[0,0,0,1]	[4556,204,801,2055]	[1,0,0,1]	[7076,2075,3439,7258]	1.9055e-01	6.6246e-01	1.2726e+00
ANKK1	[2,0,0,2]	[4554,204,801,2054]	[7,3,2,7]	[7070,2072,3437,7252]	6.4803e-01	4.2082e-01	5.6236e-01
ANKLE2	[3,0,0,1]	[4553,204,801,2055]	[4,2,4,7]	[7073,2073,3435,7252]	2.3243e-01	6.2973e-01	6.4348e-01
ANKMY1	[6,0,0,3]	[4550,204,801,2053]	[15,5,1,12]	[7062,2070,3438,7247]	8.7794e-01	3.4877e-01	6.5329e-01
ANKMY2	[2,0,0,1]	[4554,204,801,2055]	[6,0,0,4]	[7071,2075,3439,7255]	1.9634e-01	6.5769e-01	6.1726e-01
ANKRA2	[0,0,2,0]	[4556,204,799,2056]	[5,1,3,4]	[7072,2074,3436,7255]	6.9385e-01	4.0486e-01	4.6361e-01
ANKRD1	[2,1,0,0]	[4554,203,801,2056]	[8,3,0,1]	[7069,2072,3439,7258]	3.4411e-01	5.5747e-01	5.8693e-01
ANKRD10	[0,0,0,0]	[4556,204,801,2056]	[0,1,1,2]	[7077,2074,3438,7257]	8.3535e-02	7.7256e-01	0.0000e+00
ANKRD11	[1,0,0,0]	[4555,204,801,2056]	[0,1,0,0]	[7077,2074,3439,7259]	1.1103e-03	9.7342e-01	6.7963e+00
ANKRD12	[2,0,1,3]	[4554,204,800,2053]	[4,2,1,4]	[7073,2073,3438,7255]	3.5429e-01	5.5170e-01	1.5500e+00
ANKRD13A	[0,0,0,1]	[4556,204,801,2055]	[0,0,0,1]	[7077,2075,3439,7258]	9.9703e-03	9.2046e-01	3.5319e+00
ANKRD13C	[1,0,0,1]	[4555,204,801,2055]	[0,1,0,1]	[7077,2074,3439,7258]	5.0231e-01	4.7849e-01	4.4741e+00
ANKRD13D	[1,0,0,1]	[4555,204,801,2055]	[2,0,0,0]	[7075,2075,3439,7259]	1.2280e-02	9.1176e-01	1.7717e+00
ANKRD16	[4,0,0,0]	[4552,204,801,2056]	[3,2,1,3]	[7074,2073,3438,7256]	2.9521e-02	8.6358e-01	1.1036e+00
ANKRD17	[1,0,0,0]	[4555,204,801,2056]	[1,1,0,0]	[7076,2074,3439,7259]	2.4908e-01	6.1772e-01	1.2644e+00
ANKRD18A	[1,0,0,0]	[4555,204,801,2056]	[10,4,2,6]	[7067,2071,3437,7253]	5.5348e+00	1.8642e-02	1.0166e-01
ANKRD18B	[11,0,0,3]	[4545,204,801,2053]	[10,3,7,12]	[7067,2072,3432,7247]	1.5718e-02	9.0023e-01	1.1073e+00
ANKRD2	[3,0,0,1]	[4553,204,801,2055]	[11,2,0,2]	[7066,2073,3439,7257]	8.2971e-01	3.6236e-01	5.2813e-01
ANKRD20A1	[4,0,0,2]	[4552,204,801,2054]	[4,0,0,1]	[7073,2075,3439,7258]	1.2004e+00	2.7324e-01	2.2346e+00
ANKRD22	[2,0,0,1]	[4554,204,801,2055]	[4,1,1,1]	[7073,2074,3438,7258]	9.2213e-02	7.6138e-01	9.6623e-01
ANKRD23	[3,1,0,3]	[4553,203,801,2053]	[11,1,0,6]	[7066,2074,3439,7253]	4.3754e-03	9.4726e-01	8.8656e-01
ANKRD24	[7,1,0,3]	[4549,203,801,2053]	[6,0,3,7]	[7071,2075,3436,7252]	1.2100e+00	2.7133e-01	1.6834e+00
ANKRD26	[9,0,0,2]	[4547,204,801,2054]	[26,4,4,11]	[7051,2071,3435,7248]	3.3366e+00	6.7755e-02	5.1170e-01
ANKRD27	[3,1,0,3]	[4553,203,801,2053]	[3,3,6,11]	[7074,2072,3433,7248]	3.6667e-02	8.4815e-01	1.0137e+00
ANKRD28	[0,0,2,0]	[4556,204,799,2056]	[2,0,0,0]	[7075,2075,3439,7259]	1.4669e-01	7.0172e-01	2.0710e+00
ANKRD29	[1,0,0,1]	[4555,204,801,2055]	[3,1,0,2]	[7074,2074,3439,7257]	2.1309e-02	8.8394e-01	8.1339e-01
ANKRD30A	[12,0,0,2]	[4544,204,801,2054]	[8,3,0,15]	[7069,2072,3439,7244]	3.4220e-01	5.5856e-01	1.3203e+00
ANKRD30B	[11,0,0,6]	[4545,204,801,2050]	[17,9,5,19]	[7060,2066,3434,7240]	4.3330e-02	8.3510e-01	9.0184e-01
ANKRD30BL	[0,0,0,3]	[4556,204,801,2053]	[3,1,1,0]	[7074,2074,3438,7259]	1.0089e-01	7.5077e-01	1.6086e+00
ANKRD31	[7,0,0,8]	[4549,204,801,2048]	[19,2,1,14]	[7058,2073,3438,7245]	8.5061e-04	9.7673e-01	9.6262e-01
ANKRD33	[1,0,0,0]	[4555,204,801,2056]	[1,1,3,3]	[7076,2074,3436,7256]	2.3612e-01	6.2702e-01	3.5572e-01
ANKRD33B	[1,0,0,0]	[4555,204,801,2056]	[1,0,0,0]	[7076,2075,3439,7259]	1.6843e-01	6.8151e-01	1.5535e+00
ANKRD34B	[2,0,0,1]	[4554,204,801,2055]	[2,0,0,2]	[7075,2075,3439,7257]	5.0102e-02	8.2289e-01	1.6300e+00
ANKRD34C	[0,0,0,1]	[4556,204,801,2055]	[0,0,0,1]	[7077,2075,3439,7258]	9.9703e-03	9.2046e-01	3.5319e+00
ANKRD35	[6,1,0,2]	[4550,203,801,2054]	[10,6,0,5]	[7067,2069,3439,7254]	6.9036e-04	9.7904e-01	1.1013e+00
ANKRD36	[20,1,0,9]	[4536,203,801,2047]	[26,21,2,24]	[7051,2054,3437,7235]	1.8414e-01	6.6784e-01	1.1333e+00
ANKRD36B	[3,0,0,1]	[4553,204,801,2055]	[2,1,1,6]	[7075,2074,3438,7253]	3.0183e-02	8.6208e-01	1.0915e+00
